DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,49.38,49.50,48.75,49.38,42667,0
20010103,49.38,49.38,46.38,46.50,874668,0
20010104,46.50,46.50,43.25,44.38,182707,0
20010105,44.81,45.94,44.44,45.31,46633,0
20010108,45.31,46.38,45.31,46.06,34277,0
20010109,46.25,47.19,45.94,46.75,34274,0
20010110,46.56,46.81,45.75,46.00,40297,0
20010111,46.44,46.50,45.38,46.06,346000,0
20010112,46.06,46.13,45.38,45.69,29828,0
20010115,45.69,45.69,45.69,45.69,0,0
20010116,45.75,46.13,45.38,45.94,31494,0
20010117,46.19,46.25,45.13,45.38,40176,0
20010118,45.00,45.75,45.00,45.00,171431,0
20010119,44.50,44.88,43.63,43.81,41077,0
20010122,43.81,43.81,43.81,43.81,0,0
20010123,43.75,44.06,42.63,43.19,61178,0
20010124,43.63,43.63,42.25,42.75,51009,0
20010125,42.25,43.94,42.25,43.75,66836,0
20010126,44.50,44.81,43.75,44.06,43513,0
20010129,45.31,46.06,44.00,45.03,3268800,0
20010130,44.59,46.09,43.63,45.63,3989500,0
20010131,44.77,44.85,43.53,44.10,5221500,0
20010201,43.80,43.80,42.76,43.67,14120900,0
20010202,43.42,44.99,43.20,44.99,5715600,0
20010205,44.75,45.25,44.40,45.00,5153200,0
20010206,45.35,45.56,44.90,45.26,3994100,0
20010207,45.35,47.48,45.35,46.99,6342200,0
20010208,46.90,47.00,46.25,46.85,4421000,0
20010209,46.95,47.20,46.02,46.20,2422000,0
20010212,46.70,47.10,46.05,46.95,3360200,0
20010213,46.50,47.17,46.05,47.15,3545900,0
20010214,47.20,47.35,46.34,46.56,33217700,0
20010215,46.31,46.85,46.26,46.85,3658300,0
20010216,46.95,47.44,46.95,47.32,5089600,0
20010219,47.32,47.32,47.32,47.32,0,0
20010220,47.50,48.79,47.45,48.50,5366100,0
20010221,47.40,47.74,46.90,47.25,9993900,0
20010222,47.00,47.01,45.80,46.55,5337300,0
20010223,46.31,47.00,45.40,46.38,45920600,0
20010226,46.38,46.42,45.54,46.28,2983700,0
20010227,45.79,46.64,45.66,46.06,8669400,0
20010228,46.25,46.47,45.50,46.08,2241300,0
20010301,45.50,46.15,45.08,45.81,4686000,0
20010302,45.35,46.55,44.70,44.85,3230200,0
20010305,45.45,45.84,45.04,45.62,2086800,0
20010306,45.25,47.00,45.24,45.81,4663700,0
20010307,46.50,47.10,45.78,46.02,2506900,0
20010308,46.02,46.93,45.90,46.90,2634400,0
20010309,46.27,46.90,46.15,46.40,2066500,0
20010312,46.25,46.45,45.40,45.55,2489300,0
20010313,45.30,45.35,44.06,44.85,3263500,0
20010314,44.85,45.10,43.40,44.27,3764600,0
20010315,44.35,44.35,42.50,44.00,46682400,0
20010316,43.00,43.49,42.77,42.99,5643900,0
20010319,42.99,42.99,42.18,42.68,2801700,0
20010320,42.80,42.80,41.27,41.62,5409300,0
20010321,40.81,42.25,40.30,42.01,7261000,0
20010322,41.75,42.70,41.33,42.60,6289800,0
20010323,42.45,44.05,41.65,43.88,8785800,0
20010326,43.40,44.13,42.85,43.79,9677600,0
20010327,43.65,44.10,42.88,44.03,3758900,0
20010328,43.95,43.95,42.24,43.06,3842700,0
20010329,42.25,43.70,41.50,43.25,2877600,0
20010330,42.81,43.95,42.70,43.95,2919300,0
20010402,44.00,44.95,43.81,44.05,3546200,0
20010403,43.80,43.83,42.75,43.08,3003000,0
20010404,42.60,44.00,42.53,43.90,2604500,0
20010405,44.45,44.74,43.65,44.10,3389900,0
20010406,43.75,43.75,42.00,42.00,5701800,0
20010409,42.74,42.99,41.28,41.51,5794900,0
20010410,42.50,42.50,41.60,42.15,5789800,0
20010411,41.25,41.95,40.90,41.39,5062400,0
20010412,41.80,41.97,41.35,41.91,4817000,0
20010416,42.00,43.35,41.79,42.20,4733100,0
20010417,42.32,42.60,42.02,42.27,3263900,0
20010418,42.50,43.00,41.86,42.06,8659800,0
20010419,42.15,42.47,41.90,42.47,3420800,0
20010420,41.93,42.05,41.09,41.26,5607800,0
20010423,42.20,42.42,41.85,42.27,6182900,0
20010424,42.75,43.45,42.60,43.15,4649400,0
20010425,43.55,44.44,43.40,44.07,4042300,0
20010426,44.45,44.91,44.17,44.90,4253900,0
20010427,44.90,44.95,44.00,44.10,7894400,0
20010430,44.65,44.65,43.70,43.81,2984100,0
20010501,44.25,44.97,43.65,44.65,2877700,0
20010502,44.66,44.75,44.10,44.28,2335400,0
20010503,44.63,44.70,43.60,44.24,3897400,0
20010504,44.00,44.70,44.00,44.68,18534600,0
20010507,44.88,44.98,44.35,44.94,3585100,0
20010508,45.00,45.98,44.63,44.99,2581600,0
20010509,45.24,46.00,44.95,45.54,5574400,0
20010510,45.75,46.60,45.10,46.47,5562200,0
20010511,46.47,46.61,45.65,46.17,3340300,0
20010514,46.00,46.40,45.90,46.15,2248100,0
20010515,46.15,46.15,44.60,45.00,3839200,0
20010516,45.00,45.60,44.51,45.26,4613200,0
20010517,45.26,45.49,44.35,44.93,5041800,0
20010518,44.94,45.01,44.42,44.98,5859500,0
20010521,44.50,44.99,44.25,44.93,2473600,0
20010522,45.00,45.00,43.89,43.98,3445100,0
20010523,43.98,44.98,43.86,44.75,2349900,0
20010524,44.40,45.00,44.30,44.97,2314300,0
20010525,44.75,45.24,44.60,44.81,2058400,0
20010528,44.81,44.81,44.81,44.81,0,0
20010529,44.81,45.15,44.62,44.92,3968800,0
20010530,44.93,45.70,44.90,45.59,3755500,0
20010531,45.27,45.72,44.59,44.76,3669700,0
20010601,44.76,44.95,44.50,44.81,8505800,0
20010604,44.71,45.05,44.53,44.92,1341200,0
20010605,44.82,45.68,44.81,45.60,15370400,0
20010606,45.13,45.34,44.45,44.60,3322100,0
20010607,44.35,44.86,44.00,44.31,7869600,0
20010608,44.32,44.66,44.18,44.50,2398600,0
20010611,44.40,44.40,43.91,44.02,2701600,0
20010612,43.80,44.32,43.36,44.22,3277000,0
20010613,43.82,44.39,43.73,44.32,2646000,0
20010614,44.10,44.15,43.60,43.78,2793000,0
20010615,43.31,43.70,43.09,43.26,5331800,0
20010618,43.12,43.62,43.12,43.36,2893600,0
20010619,43.42,43.94,43.21,43.71,4367000,0
20010620,43.70,44.20,43.65,44.06,3894300,0
