DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,45.56,46.75,45.50,46.13,105648,0
20010103,46.00,46.44,42.50,43.56,221655,0
20010104,43.88,43.94,41.00,41.81,323496,0
20010105,42.50,43.44,41.69,42.38,180166,0
20010108,43.00,43.38,41.56,41.88,138447,0
20010109,42.25,43.25,42.06,43.25,110262,0
20010110,43.13,43.75,42.25,42.25,141532,0
20010111,42.13,42.31,40.88,41.00,220485,0
20010112,41.00,41.69,40.88,41.44,182494,0
20010115,41.44,41.44,41.44,41.44,0,0
20010116,41.00,42.13,41.00,41.69,162456,0
20010117,41.38,41.38,40.50,40.75,171701,0
20010118,41.13,41.81,36.88,41.13,170624,0
20010119,41.00,41.50,40.69,41.38,164035,0
20010122,41.38,41.38,41.38,41.38,0,0
20010123,41.75,42.94,41.75,42.88,121835,0
20010124,42.88,43.19,42.25,42.94,215396,0
20010125,43.00,44.94,42.94,44.44,147292,0
20010126,44.94,45.13,44.00,44.31,141629,0
20010129,44.35,46.09,43.31,43.94,10213200,0
20010130,44.72,46.09,43.31,44.88,9580800,0
20010131,44.28,45.15,43.39,45.15,13035900,0
20010201,45.15,45.21,44.55,45.21,9534200,0
20010202,45.19,45.23,44.67,44.85,99000000,0
20010205,44.90,46.00,44.75,45.75,11335600,0
20010206,46.71,46.71,45.60,45.85,15533800,0
20010207,45.80,46.20,44.50,44.50,18946100,0
20010208,44.70,45.28,44.02,44.75,11150300,0
20010209,44.85,46.05,44.76,45.04,10099100,0
20010212,45.25,46.12,45.07,46.12,10936400,0
20010213,45.29,45.29,44.57,45.03,14311000,0
20010214,44.65,45.48,44.26,45.20,11150100,0
20010215,44.04,44.48,43.62,44.25,11682400,0
20010216,43.95,45.50,43.95,45.26,14197100,0
20010219,45.26,45.26,45.26,45.26,0,0
20010220,45.27,45.95,44.80,44.85,10984800,0
20010221,45.10,46.00,44.76,44.81,15001700,0
20010222,45.95,45.95,44.68,45.09,17221300,0
20010223,45.00,45.15,44.40,44.82,9926400,0
20010226,44.25,45.25,44.00,45.25,11104600,0
20010227,45.07,45.44,44.92,45.21,8082000,0
20010228,45.25,45.48,44.45,45.00,13962900,0
20010301,44.98,44.98,43.80,44.10,14717200,0
20010302,44.30,44.50,43.23,43.61,15389900,0
20010305,43.54,44.07,42.89,43.83,10057800,0
20010306,44.47,44.47,42.92,43.10,10593300,0
20010307,42.70,42.82,41.77,41.95,15959400,0
20010308,41.96,42.40,41.50,42.00,13673800,0
20010309,42.38,42.83,42.13,42.45,11221700,0
20010312,41.71,42.25,40.00,40.35,13687600,0
20010313,40.11,40.22,38.25,39.99,21910200,0
20010314,38.99,39.50,36.31,39.00,18333400,0
20010315,39.00,39.20,38.00,38.55,18042000,0
20010316,38.02,38.30,36.90,37.37,27562200,0
20010319,37.05,37.99,37.05,37.60,14021900,0
20010320,38.00,38.20,37.10,37.22,15354000,0
20010321,37.35,37.48,35.71,35.98,17476400,0
20010322,35.85,36.00,34.10,35.67,27058300,0
20010323,36.70,37.78,36.05,37.53,21963900,0
20010326,38.25,39.50,37.91,38.50,12789400,0
20010327,39.13,40.00,38.55,39.98,15079200,0
20010328,39.78,40.29,39.06,39.93,11978400,0
20010329,39.95,41.02,39.07,39.99,15501500,0
20010330,40.16,40.95,39.60,40.95,14405200,0
20010402,40.25,40.78,38.50,38.94,15798300,0
20010403,39.00,39.98,38.50,39.02,16270700,0
20010404,38.90,40.36,38.79,39.75,13570100,0
20010405,40.42,40.85,39.80,40.80,12491900,0
20010406,40.09,41.08,40.00,41.08,11708000,0
20010409,41.59,41.97,41.51,41.97,10366100,0
20010410,42.00,42.03,40.31,41.00,14387300,0
20010411,39.14,40.10,39.14,39.95,17343000,0
20010412,39.99,40.81,39.75,40.70,10663800,0
20010416,41.36,41.73,40.48,40.95,10901100,0
20010417,40.49,42.49,40.49,42.41,12225800,0
20010418,41.50,42.75,40.60,40.90,27002800,0
20010419,40.45,40.69,39.80,39.80,24484800,0
20010420,39.75,40.90,39.51,40.76,19491000,0
20010423,40.90,41.26,40.78,41.00,11750800,0
20010424,40.90,41.47,40.11,40.55,10903600,0
20010425,40.55,41.25,40.45,40.91,10107000,0
20010426,40.96,42.59,40.75,42.50,16050400,0
20010427,42.09,43.20,41.92,43.12,13204200,0
20010430,43.02,43.96,43.00,43.30,13727400,0
20010501,43.30,43.75,43.01,43.57,9357500,0
20010502,43.25,43.40,42.47,43.19,10441200,0
20010503,43.40,43.41,41.92,42.25,12382700,0
20010504,42.40,43.65,42.11,43.46,9178300,0
20010507,43.30,43.89,43.22,43.77,7782700,0
20010508,43.20,44.05,43.10,44.01,8978100,0
20010509,44.04,44.45,43.57,44.44,9365600,0
20010510,44.00,44.42,43.45,43.74,8295700,0
20010511,43.73,44.21,42.80,43.00,9025200,0
20010514,43.00,43.44,42.26,43.31,8838200,0
20010515,42.80,43.25,42.25,42.97,11414500,0
20010516,42.86,44.78,42.86,44.62,18047500,0
20010517,44.79,45.04,44.36,44.76,17945600,0
20010518,44.90,44.99,44.02,44.85,16602600,0
20010521,44.80,44.90,44.25,44.76,7780400,0
20010522,44.25,44.35,43.84,44.03,8826600,0
20010523,41.42,44.50,41.42,43.55,15958000,0
20010524,43.06,43.18,42.06,42.92,15072700,0
20010525,42.52,42.65,41.52,41.87,12431900,0
20010528,41.87,41.87,41.87,41.87,0,0
20010529,42.73,43.09,42.37,43.04,9995300,0
20010530,43.43,43.50,42.88,43.20,9369900,0
20010531,43.15,43.19,42.35,42.89,10941600,0
20010601,42.46,43.30,42.39,42.81,6819700,0
20010604,43.28,43.45,42.82,43.45,6902300,0
20010605,43.12,43.50,42.85,42.95,11153700,0
20010606,42.87,42.99,42.27,42.85,9523000,0
20010607,42.71,43.80,42.70,43.75,21737100,0
20010608,43.65,43.76,43.29,43.51,5810600,0
20010611,43.85,43.85,42.71,43.11,6315700,0
20010612,43.48,43.49,42.80,42.94,7486200,0
20010613,43.20,43.78,42.52,42.66,10154000,0
20010614,42.69,43.43,42.65,43.25,9784200,0
20010615,42.32,42.79,42.17,42.63,19529200,0
20010618,42.81,43.70,42.60,43.22,10211200,0
20010619,42.99,44.09,42.99,44.00,12345500,0
20010620,44.60,44.90,43.70,44.50,12314700,0
20010621,44.05,45.00,44.05,44.87,12117100,0
20010622,43.55,43.66,42.64,42.79,14222500,0
20010625,42.85,43.23,42.00,42.01,9165600,0
20010626,42.02,42.68,42.02,42.20,9707900,0
20010627,42.16,43.09,41.57,41.57,7230100,0
20010628,42.02,42.99,41.80,42.15,11222600,0
20010629,41.65,42.06,40.05,40.05,20641300,0
20010702,40.50,41.09,40.37,40.90,16007000,0
20010703,40.97,41.04,40.35,40.44,6577400,0
20010704,40.44,40.44,40.44,40.44,0,0
20010705,40.72,40.84,39.66,39.76,12340700,0
20010706,40.15,40.19,39.57,40.05,11442100,0
20010709,40.24,41.20,40.15,41.15,9714800,0
20010710,40.95,41.35,40.50,40.77,9774900,0
20010711,40.23,40.23,38.70,38.85,18419600,0
20010712,39.01,39.01,37.20,37.60,23621400,0
20010713,37.65,39.13,37.65,38.43,19220700,0
20010716,38.43,38.65,37.40,37.87,13265900,0
20010717,37.95,38.80,37.58,38.58,18227900,0
20010718,39.20,41.19,39.05,41.01,19287800,0
20010719,41.00,41.46,40.52,41.13,12680000,0
20010720,41.03,42.23,41.02,41.42,11602300,0
20010723,41.43,41.79,40.03,40.08,9351900,0
20010724,40.20,40.20,39.62,39.86,8978600,0
20010725,40.00,40.40,39.62,40.10,9307300,0
20010726,40.22,40.43,39.44,39.99,9620400,0
20010727,40.20,40.20,39.73,39.84,8672200,0
20010730,39.85,40.21,39.83,40.10,8835700,0
20010731,40.32,41.95,40.31,41.22,13333300,0
20010801,41.22,41.33,40.75,41.14,7265300,0
20010802,41.14,41.35,40.60,40.74,7534100,0
20010803,40.74,41.50,40.26,40.74,7099800,0
20010806,40.97,40.99,40.15,40.34,5279800,0
20010807,40.63,40.63,40.05,40.26,8151100,0
20010808,40.25,40.89,40.01,40.10,10453300,0
20010809,40.60,40.91,40.35,40.75,9085000,0
20010810,40.50,41.40,40.33,41.10,10025600,0
20010813,40.52,40.99,40.50,40.93,8763900,0
20010814,41.00,41.29,40.87,41.07,6803400,0
20010815,41.30,41.85,41.07,41.21,9381000,0
20010816,41.04,41.44,40.71,41.19,7698400,0
20010817,41.17,41.75,40.60,41.75,9009200,0
20010820,41.75,41.88,40.90,41.41,13746800,0
20010821,41.40,41.73,40.52,40.64,10586000,0
20010822,40.28,40.92,39.81,40.68,11728600,0
20010823,40.24,40.81,40.22,40.68,10789800,0
20010824,40.41,41.50,40.32,41.33,19283000,0
20010827,41.33,41.33,40.95,40.95,6541200,0
20010828,41.20,41.20,39.95,40.15,9509100,0
20010829,40.60,40.66,39.43,39.60,12396300,0
20010830,39.61,39.84,38.06,38.26,19509100,0
20010831,38.55,38.74,38.05,38.31,15035600,0
20010903,38.31,38.31,38.31,38.31,0,0
20010904,38.45,39.68,38.31,38.62,20777400,0
20010905,38.79,39.55,38.26,39.34,13269800,0
20010906,38.91,39.31,38.15,38.45,11317200,0
20010907,38.30,38.41,36.96,37.00,17428000,0
20010910,36.52,38.51,36.46,38.17,10937400,0
20010911,38.17,38.17,38.17,38.17,2900,0
20010917,39.91,39.92,37.50,38.14,26595800,0
20010918,38.06,38.13,37.22,37.80,15702700,0
20010919,37.89,37.99,36.03,37.02,25030400,0
20010920,36.26,37.46,36.10,36.54,17689900,0
20010921,34.00,35.90,34.00,35.80,28305300,0
20010924,36.71,36.87,35.27,36.03,19140400,0
20010925,37.15,37.15,36.55,36.98,15459500,0
20010926,37.00,38.55,36.98,38.55,18332800,0
20010927,39.00,39.86,38.80,39.75,20553600,0
20010928,39.96,40.19,38.97,40.10,18709200,0
20011001,40.22,41.24,40.16,41.10,17694100,0
20011002,41.02,41.50,40.61,41.50,14019600,0
20011003,41.50,41.51,40.67,41.25,14338400,0
20011004,41.00,41.36,40.54,41.01,14216600,0
20011005,41.07,41.95,40.98,41.79,12602700,0
20011008,41.69,41.70,40.84,41.00,8244400,0
