DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,39.06,39.44,38.41,39.25,68478,0
20010103,39.25,39.59,37.00,37.31,184676,0
20010104,37.28,37.31,35.66,36.16,82100,0
20010105,36.13,37.72,35.81,37.47,85382,0
20010108,37.16,38.66,37.16,38.28,129956,0
20010109,37.81,37.88,36.75,37.31,325270,0
20010110,36.81,37.25,36.22,36.91,57504,0
20010111,36.91,37.06,35.94,36.38,56588,0
20010112,36.63,36.66,35.03,35.16,75322,0
20010115,35.16,35.16,35.16,35.16,0,0
20010116,35.47,36.22,35.25,35.97,84372,0
20010117,35.81,35.97,34.97,35.06,73760,0
20010118,35.03,36.69,34.88,35.41,65398,0
20010119,35.03,35.31,34.91,34.97,57450,0
20010122,34.97,34.97,34.97,34.97,0,0
20010123,34.69,35.38,34.13,34.72,52712,0
20010124,34.94,35.06,34.06,34.97,45282,0
20010125,34.63,35.34,34.50,34.97,52548,0
20010126,35.31,35.75,34.59,34.63,56278,0
20010129,33.63,34.91,33.50,34.34,9167200,0
20010130,35.28,36.55,34.89,35.66,11190200,0
20010131,35.50,36.00,34.75,35.90,7572200,0
20010201,36.00,37.07,35.93,36.97,7363200,0
20010202,37.15,37.28,36.67,36.88,7193400,0
20010205,36.99,37.65,36.88,37.17,6582200,0
20010206,37.42,37.47,36.40,37.06,6789400,0
20010207,36.92,37.95,36.14,37.60,8227000,0
20010208,37.60,37.67,37.24,37.45,3747600,0
20010209,37.54,37.75,37.25,37.46,4516400,0
20010212,37.49,37.72,37.18,37.55,4974600,0
20010213,37.45,37.45,36.78,37.28,5213000,0
20010214,37.25,37.25,36.75,36.83,3998000,0
20010215,36.83,37.20,36.66,36.93,7306400,0
20010216,37.24,37.54,37.22,37.42,6741600,0
20010219,37.42,37.42,37.42,37.42,0,0
20010220,37.72,37.89,37.41,37.85,63600000,0
20010221,38.17,38.51,38.08,38.40,7320600,0
20010222,38.50,38.58,37.38,38.05,6888800,0
20010223,37.81,37.90,36.85,37.51,5472400,0
20010226,36.10,36.10,35.06,35.56,11880400,0
20010227,35.50,36.00,35.13,35.35,9050000,0
20010228,35.35,35.60,34.92,35.30,7182600,0
20010301,35.00,35.30,34.13,34.33,8016600,0
20010302,33.90,34.90,33.90,34.83,5468600,0
20010305,35.45,35.65,34.90,35.09,5106600,0
20010306,34.83,34.83,34.35,34.53,5167400,0
20010307,34.30,34.70,34.03,34.28,3832200,0
20010308,34.45,35.60,34.18,35.47,5213600,0
20010309,35.13,35.20,34.38,34.57,5229200,0
20010312,34.38,35.30,34.00,34.13,6632800,0
20010313,34.17,34.38,33.63,34.07,5193200,0
20010314,33.51,33.85,33.19,33.30,6443200,0
20010315,33.38,33.49,31.95,32.47,23382800,0
20010316,32.28,32.97,31.94,32.35,10549800,0
20010319,32.45,33.58,32.32,32.95,7057800,0
20010320,32.95,34.10,32.86,32.95,6524200,0
20010321,32.90,32.90,31.50,31.60,9992800,0
20010322,31.38,31.63,30.15,31.38,11684200,0
20010323,30.75,30.92,29.93,30.10,21806400,0
20010326,30.55,30.55,29.63,29.90,19164600,0
20010327,30.50,31.40,30.48,31.07,7464600,0
20010328,30.91,31.38,30.35,31.03,5947600,0
20010329,31.03,31.52,30.30,30.63,13730600,0
20010330,30.70,31.40,30.27,31.30,4620400,0
20010402,31.77,31.83,30.53,30.80,15277200,0
20010403,30.52,30.87,30.03,30.55,18290800,0
20010404,30.08,30.48,29.45,30.43,7882200,0
20010405,30.48,30.80,30.00,30.77,6215400,0
20010406,30.75,31.12,29.88,30.80,6028200,0
20010409,31.00,31.00,29.98,30.15,5214200,0
20010410,30.00,30.10,28.88,29.35,10434800,0
20010411,28.88,29.52,28.73,29.49,7537800,0
20010412,29.45,29.72,29.05,29.40,5395800,0
20010416,29.60,29.97,29.02,29.58,5508000,0
20010417,29.15,29.27,28.00,28.70,13705200,0
20010418,28.70,29.50,28.38,28.72,10241400,0
20010419,28.92,29.50,28.80,29.48,7961400,0
20010420,29.35,29.81,28.84,29.00,8088800,0
20010423,29.00,29.20,28.89,29.01,5305000,0
20010424,28.55,28.87,28.10,28.32,10913000,0
20010425,28.45,28.92,28.38,28.78,7398200,0
