DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,40.9375,41.1250,35.1875,35.4375,36229600,0
20010103,34.5625,42.8594,34.5625,42.0313,46883200,0
20010104,39.5000,41.0938,38.4063,39.4688,39825000,0
20010105,39.6875,39.8282,36.2500,36.8750,31335600,0
20010108,36.5000,39.0000,35.9375,38.9375,23134800,0
20010109,37.5625,38.1250,35.8438,36.6250,29118600,0
20010110,34.6875,36.3125,33.8750,36.2188,35323600,0
20010111,35.0938,37.0000,34.8438,35.2813,25809400,0
20010112,35.9375,37.5313,35.3125,35.9063,22512000,0
20010115,35.9063,35.9063,35.9063,35.9063,0,0
20010116,34.7813,35.5313,34.2500,35.4688,21778400,0
20010117,36.5625,37.1875,35.7813,36.5000,26476800,0
20010118,36.8125,37.0000,35.7188,36.5313,22991800,0
20010119,37.0625,37.1875,35.0000,35.1875,25102800,0
20010122,35.1875,37.8438,34.7188,37.7188,33280400,0
20010123,38.1563,39.9375,38.0625,38.8125,36936800,0
20010124,39.1875,39.3750,36.1250,37.2188,28656800,0
20010125,37.1875,38.2500,36.4688,36.9688,28876800,0
20010126,38.5157,40.6875,37.8750,40.5000,57532000,0
20010129,40.0938,43.6563,39.7500,43.4375,33964800,0
20010130,42.8750,43.0000,41.5625,42.8438,22741400,0
20010131,43.0000,43.2813,41.9688,42.0313,22352000,0
20010201,41.5625,43.3125,40.5000,42.6250,22178400,0
20010202,42.0625,44.5625,41.6406,43.4063,44418800,0
20010205,42.8750,44.2188,42.5625,43.2188,23255800,0
20010206,42.9375,43.6250,40.9375,41.4688,16272200,0
20010207,40.7813,43.8750,40.4688,43.3125,28112600,0
20010208,43.2188,44.6719,42.3125,42.3750,25516800,0
20010209,42.0000,42.8594,38.8750,39.5625,25205000,0
20010212,39.5313,42.4688,39.5313,41.4375,26459200,0
20010213,42.7500,43.4688,40.2500,40.2500,24339800,0
20010214,40.1250,44.8750,39.9375,41.6875,24053200,0
20010215,42.2656,43.9375,42.2500,42.8125,25131400,0
20010216,41.0938,43.4688,40.0000,40.3125,22592800,0
20010219,40.3125,40.3125,40.3125,40.3125,0,0
20010220,40.1875,40.8125,37.6875,37.7500,24309600,0
20010221,36.4375,37.8125,34.9375,35.6250,32529400,0
20010222,34.9375,35.2500,31.5938,33.4532,50762000,0
20010223,29.5625,31.3125,25.1250,30.9063,149421000,0
20010226,31.4531,32.0000,29.4063,31.5313,52836400,0
20010227,30.8594,30.8594,27.7500,27.8125,47056200,0
20010228,27.9844,29.1875,26.0625,27.4063,57777200,0
20010301,27.5625,30.7500,27.5000,30.5938,55513800,0
20010302,29.8125,32.2500,29.8125,30.2500,54539600,0
20010305,30.6250,31.5625,29.8125,31.4688,22619000,0
20010306,32.4375,33.2188,29.0938,29.5625,41348400,0
20010307,30.5000,30.5625,28.0313,28.8125,45395600,0
20010308,28.8750,29.5938,28.5938,28.6250,21762600,0
20010309,27.9375,28.5781,25.9688,25.9688,33653000,0
20010312,25.5000,25.8750,23.6250,24.1250,47912200,0
20010313,24.3125,26.5000,23.8438,26.3750,41969000,0
20010314,24.9531,26.7188,24.5313,25.6563,40008000,0
20010315,26.8125,27.5313,26.0625,26.0938,26754800,0
20010316,25.1875,25.5938,24.6875,25.1563,30065000,0
20010319,25.2500,29.8125,25.1563,29.0938,44286200,0
20010320,28.9688,29.7188,26.5000,27.0000,42358400,0
20010321,27.4063,29.5625,27.1250,29.0625,43638400,0
20010322,29.1250,29.7188,26.5625,28.4375,59151600,0
20010323,29.6563,29.9688,28.2188,29.4375,35717000,0
20010326,29.6875,30.5000,27.5625,28.3125,37731800,0
20010327,28.5300,30.4850,28.5300,29.9400,43654800,0
20010328,29.1900,29.2350,26.8150,27.4050,38687400,0
20010329,26.1550,28.0650,26.0300,27.3450,36664200,0
20010330,27.4700,28.8150,26.2800,28.3150,29649400,0
20010402,28.0650,28.4700,25.2500,25.7500,37148400,0
20010403,26.0000,26.3450,22.8450,22.9050,48867800,0
20010404,22.0650,23.7200,21.4050,21.9400,62083400,0
20010405,23.1250,24.1250,21.7500,23.9050,62837200,0
20010406,23.3750,23.6900,21.8450,22.3150,40845800,0
20010409,22.3550,23.0500,21.8900,22.6200,23622800,0
20010410,22.6050,25.3400,22.6050,24.4000,34690800,0
20010411,26.5250,26.5250,24.8500,25.5450,29266600,0
20010412,24.5000,26.6400,23.5500,26.5000,36034800,0
20010416,25.8000,26.0100,24.0050,24.1850,23287600,0
20010417,23.9750,25.7150,23.9650,25.3800,28428400,0
20010418,26.9900,30.0000,26.6250,29.3750,50961000,0
20010419,29.8500,33.2500,28.9750,33.1500,55095200,0
20010420,32.0500,32.9700,30.7450,31.9150,33368800,0
20010423,30.6700,31.4750,29.0250,29.1000,27579000,0
20010424,29.7300,31.1800,29.6250,29.7500,26387200,0
20010425,29.6300,31.6500,29.0900,31.4600,31122000,0
20010426,28.2000,30.0750,28.2000,29.0250,62739000,0
20010427,29.9950,30.2500,27.9300,28.1500,34720200,0
20010430,29.4800,30.3050,28.3650,28.6800,29007800,0
20010501,28.3600,30.9250,27.9300,30.8750,26982400,0
20010502,30.7300,31.4500,29.5200,30.0500,25031000,0
20010503,29.5000,30.4500,28.8650,29.4200,22701200,0
20010504,28.5500,31.1350,28.1800,30.7400,30127400,0
20010507,30.6900,30.7400,29.0000,30.2450,19923000,0
20010508,30.7400,31.4250,30.2100,31.0450,20789600,0
20010509,30.5950,30.7500,29.1950,29.6400,17369600,0
20010510,30.4250,30.5950,29.2850,29.3200,15090400,0
20010511,29.3450,30.0000,28.5700,28.9750,12368800,0
20010514,29.0600,29.0700,27.6000,28.4600,18150400,0
20010515,29.1000,31.1800,29.0650,29.8250,36900000,0
20010516,30.3900,32.4650,29.9500,32.3800,34602000,0
20010517,32.3300,34.1850,32.2350,33.1750,31430200,0
20010518,32.7550,33.4100,32.2600,32.6850,15567000,0
20010521,33.1850,35.5200,32.9000,35.4950,24886600,0
20010522,35.3300,35.3300,34.0250,34.9600,21755400,0
20010523,35.0300,35.4650,34.0450,34.0550,24488800,0
20010524,34.1700,35.0000,33.5250,34.9950,19889800,0
20010525,34.5750,34.9300,33.7500,33.7600,14665000,0
20010528,33.7600,33.7600,33.7600,33.7600,0,0
20010529,33.6750,34.2150,32.7500,33.0850,17279400,0
20010530,31.9000,32.1250,30.5250,30.9100,24240000,0
20010531,30.9750,31.6250,30.2000,30.3700,21822000,0
20010601,30.6200,31.1850,30.0050,30.7950,14242200,0
20010604,31.2250,31.5750,30.3000,30.9700,12074600,0
20010605,31.0100,32.4150,30.9500,31.7600,17892400,0
20010606,31.9250,32.2450,30.8000,31.2400,12696600,0
20010607,31.1150,32.7650,30.9000,32.4500,13978200,0
20010608,32.3250,32.3500,30.5000,30.6200,11879400,0
20010611,30.5250,30.5300,29.0000,29.8900,18809600,0
20010612,27.9750,29.2850,27.7550,28.9850,25327600,0
20010613,29.1300,29.1350,27.1000,27.1100,21103800,0
20010614,27.0450,27.4000,25.7200,25.7500,22596800,0
20010615,25.0250,25.1500,24.2500,24.6800,34045800,0
20010618,25.4000,26.0950,24.7500,25.0200,27035200,0
20010619,26.0900,26.1500,24.9300,25.1550,21102800,0
20010620,24.8500,25.2700,23.9900,24.2250,27953400,0
20010621,24.3400,26.8450,24.0400,26.2500,32086800,0
20010622,26.3200,27.3000,26.2700,27.0150,22542400,0
20010625,27.6200,27.6250,26.3950,27.1750,22729800,0
20010626,26.6450,27.1000,25.9500,26.7250,21016400,0
20010627,26.7750,28.3400,26.6600,27.7800,25030000,0
20010628,28.3550,29.5600,28.3550,28.9750,25013000,0
20010629,28.6550,28.9450,28.2500,28.4650,14390600,0
20010702,28.7700,29.7250,28.5250,28.9350,12885600,0
20010703,31.0000,31.9500,30.6250,31.9350,30307800,0
20010704,31.9350,31.9350,31.9350,31.9350,0,0
20010705,31.4700,31.9700,30.6250,30.7050,20269600,0
20010706,30.5400,31.0000,29.0050,29.0900,20705400,0
20010709,30.0350,31.4000,29.8700,30.8600,26715000,0
20010710,31.1450,31.3500,29.3700,29.5250,21837200,0
20010711,29.1750,29.6700,27.5000,28.2250,29932400,0
20010712,29.7750,31.7500,29.7150,31.6800,29772200,0
20010713,31.2500,33.9700,30.9050,32.7050,42040000,0
20010716,32.7750,33.2750,31.8750,32.0550,24596200,0
20010717,32.1050,32.7250,31.5300,32.3450,21332800,0
20010718,32.1150,32.6200,30.8550,31.2750,17883800,0
20010719,32.2000,33.7000,32.1950,32.8500,27531600,0
20010720,32.4450,32.8300,31.9800,32.2400,24940800,0
20010723,32.1950,32.6250,30.3750,30.4250,20973600,0
20010724,28.9700,29.3150,28.2250,28.8750,37119000,0
20010725,29.1300,30.0000,27.2000,29.7950,21241600,0
20010726,29.8700,30.2250,28.8500,29.9750,26348400,0
20010727,31.6100,32.2700,31.3800,31.5900,34461400,0
20010730,32.3450,32.5050,31.8100,32.0550,22913600,0
20010731,32.0900,32.3750,30.9150,31.6150,27937200,0
20010801,32.1100,32.9700,32.0050,32.6850,18600200,0
20010802,33.1000,34.1850,33.0500,34.1700,25014000,0
20010803,33.7600,34.0000,33.1550,33.4300,17509600,0
20010806,33.1550,34.0850,33.1500,33.6500,13658400,0
20010807,33.5200,34.4350,33.3800,33.7800,15650400,0
20010808,33.4950,34.4000,32.0200,32.5450,22547600,0
20010809,32.5800,33.1950,31.9500,32.8600,22042600,0
20010810,32.6400,32.7500,31.1100,31.8850,25593400,0
20010813,32.6850,33.4200,32.4000,33.3000,19792400,0
20010814,33.6250,33.8250,32.7750,32.9650,15565400,0
20010815,32.8750,33.0600,31.7550,31.8500,20202200,0
20010816,31.3200,32.4200,30.2800,32.4050,23624000,0
20010817,31.7000,32.2250,30.6900,30.7800,18460400,0
20010820,31.0300,31.8550,30.8050,31.8550,14663200,0
20010821,31.8600,32.9750,31.2200,31.2200,22329000,0
20010822,31.7995,32.0195,30.3850,31.8750,26717600,0
20010823,31.7200,32.6250,31.4695,31.4750,20872400,0
20010824,31.8950,33.0750,31.7550,33.0550,20612400,0
20010827,32.8950,33.2750,32.2400,32.4850,14737800,0
20010828,32.7000,32.7000,31.3250,31.4000,21709600,0
20010829,31.6800,31.7500,30.8050,31.3600,21161200,0
20010830,30.9500,31.4200,29.7950,29.7950,28357400,0
20010831,29.5800,30.0700,29.0350,29.4250,23348200,0
20010903,29.4250,29.4250,29.4250,29.4250,0,0
20010904,29.3900,29.5000,27.0000,27.1500,40920200,0
20010905,26.8850,27.0490,25.6850,26.6050,47764000,0
20010906,26.3300,27.4450,24.2000,24.2550,48829200,0
20010907,24.0050,25.1250,23.7250,24.5900,45355000,0
20010910,25.2350,25.8755,24.8550,25.2700,35966200,0
20010911,25.2700,25.2700,25.2700,25.2700,0,0
20010917,23.6250,25.2200,22.7625,22.8950,41829400,0
20010918,23.2950,24.1500,22.6550,23.1850,31793800,0
