DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,31.00,31.62,30.62,30.69,784100,0
20010103,30.69,31.50,30.69,31.12,732100,0
20010104,31.38,31.44,30.50,30.94,778500,0
20010105,30.88,30.88,30.06,30.25,610200,0
20010108,30.25,30.56,29.75,29.75,854400,0
20010109,30.00,31.50,30.00,31.50,1788300,0
20010110,31.56,33.00,31.56,32.75,1642400,0
20010111,32.75,32.81,31.06,31.19,811500,0
20010112,31.19,31.50,30.69,31.25,703900,0
20010115,31.25,31.25,31.25,31.25,0,0
20010116,30.75,30.88,30.12,30.62,623800,0
20010117,30.75,30.88,29.94,30.19,382800,0
20010118,30.12,30.38,29.62,29.81,690900,0
20010119,29.94,30.88,29.50,29.56,959500,0
20010122,29.44,30.88,29.44,30.69,1064500,0
20010123,30.94,32.56,30.94,32.12,1118200,0
20010124,32.00,32.12,31.50,31.69,727900,0
20010125,31.75,34.94,31.69,34.94,1445700,0
20010126,34.75,35.19,33.50,34.31,1093100,0
20010129,34.25,34.84,34.20,34.68,1092400,0
20010130,34.43,35.32,33.55,35.30,960300,0
20010131,34.90,35.67,34.90,35.19,1079800,0
20010201,35.20,36.68,35.10,36.59,1231200,0
20010202,36.59,36.59,35.22,35.50,3558800,0
20010205,35.85,36.13,35.71,35.84,1352800,0
20010206,35.95,35.99,35.39,35.39,816300,0
20010207,35.30,35.30,32.95,33.81,1782000,0
20010208,33.88,34.16,33.64,33.75,2175500,0
20010209,33.70,33.72,33.28,33.41,990500,0
20010212,33.41,33.47,32.80,33.30,765400,0
20010213,33.00,34.05,33.00,33.96,1217000,0
20010214,33.96,34.06,33.23,33.23,763500,0
20010215,33.20,33.75,33.10,33.10,863200,0
20010216,33.28,34.14,33.18,33.79,972200,0
20010219,33.79,33.79,33.79,33.79,0,0
20010220,33.85,34.50,33.69,33.74,619400,0
20010221,33.75,34.45,33.52,33.52,791000,0
20010222,33.55,33.83,33.13,33.82,802300,0
20010223,33.82,33.82,32.73,33.15,799200,0
20010226,33.00,33.75,33.00,33.67,662900,0
20010227,33.75,33.85,33.65,33.75,1049100,0
20010228,33.75,33.75,33.18,33.21,1112100,0
20010301,32.80,32.80,30.65,30.84,2231000,0
20010302,30.85,30.85,29.43,30.67,2366000,0
20010305,30.68,31.45,30.68,31.45,674800,0
20010306,31.25,31.30,29.78,29.85,1434500,0
20010307,29.85,29.88,27.50,29.08,3248200,0
20010308,29.15,29.24,28.60,29.01,1310400,0
20010309,28.95,29.83,28.51,29.77,1094000,0
20010312,29.75,30.70,29.40,30.01,1301600,0
20010313,30.40,31.00,29.44,29.75,1703000,0
20010314,29.20,29.25,28.35,28.61,1115000,0
20010315,28.85,28.85,27.80,28.05,1387900,0
20010316,27.80,28.10,27.21,27.35,2601600,0
20010319,27.60,27.60,26.83,26.95,1904700,0
20010320,27.00,27.00,26.70,26.75,985400,0
20010321,26.95,27.05,26.65,26.99,1548200,0
20010322,27.00,27.00,25.24,26.00,1967600,0
20010323,25.95,26.85,25.88,26.60,1094400,0
20010326,26.75,27.28,26.63,27.28,1083100,0
20010327,27.40,28.75,27.30,28.44,1620400,0
20010328,28.10,28.35,27.62,28.27,974200,0
20010329,28.40,30.25,28.39,30.13,1620900,0
20010330,29.95,29.96,29.10,29.38,867800,0
20010402,29.50,30.47,29.50,30.20,1043000,0
20010403,30.20,30.45,29.90,30.10,1247300,0
20010404,29.70,30.40,29.50,30.24,885800,0
20010405,30.47,31.08,30.20,31.03,652500,0
20010406,30.95,31.00,30.43,30.97,696500,0
20010409,31.15,31.43,30.70,31.19,961900,0
20010410,30.20,30.90,30.06,30.85,1618900,0
20010411,30.70,30.90,30.02,30.42,1468200,0
20010412,30.00,30.85,30.00,30.84,990000,0
20010416,30.90,31.05,30.56,30.85,961500,0
20010417,30.75,31.90,30.68,31.90,654500,0
20010418,31.75,32.95,31.73,32.85,945500,0
20010419,32.10,32.58,30.00,30.65,1887600,0
20010420,30.85,30.85,30.13,30.19,1802900,0
20010423,30.00,30.12,29.45,29.60,752800,0
20010424,29.35,30.13,29.18,29.56,627700,0
20010425,29.00,29.00,28.15,28.52,1269500,0
20010426,28.92,29.99,28.80,29.81,1126200,0
20010427,29.70,30.05,29.60,30.05,649600,0
20010430,30.05,30.05,29.35,29.53,723700,0
20010501,30.00,30.35,29.25,29.26,2560800,0
20010502,29.25,30.25,29.10,29.65,1671000,0
20010503,29.20,29.20,27.31,27.75,4192500,0
20010504,27.10,28.03,27.10,27.87,10370400,0
20010507,27.90,28.60,27.60,28.60,2908100,0
20010508,28.50,29.25,28.26,29.11,1631500,0
20010509,29.11,29.66,29.01,29.46,1880600,0
20010510,29.48,29.53,29.21,29.45,1714000,0
20010511,29.45,29.48,29.11,29.41,975000,0
20010514,29.30,29.70,28.50,29.64,1004900,0
20010515,29.45,29.70,29.16,29.30,1130500,0
20010516,28.60,29.30,28.60,29.00,2037500,0
20010517,29.00,29.35,28.91,29.18,1544800,0
20010518,29.00,29.02,28.53,28.70,1364100,0
20010521,28.80,28.80,27.75,27.90,1433400,0
20010522,28.50,29.65,28.48,29.65,2739800,0
20010523,29.85,30.00,29.37,29.75,1707100,0
20010524,29.60,29.75,29.36,29.65,1091300,0
20010525,29.50,29.55,28.45,28.70,894200,0
20010528,28.70,28.70,28.70,28.70,0,0
20010529,28.55,28.74,28.23,28.56,663000,0
20010530,28.64,30.41,28.64,30.06,1295300,0
20010531,29.65,29.93,29.27,29.77,2741000,0
20010601,29.77,29.80,29.20,29.35,21030800,0
20010604,29.35,29.43,28.90,29.14,16600000,0
20010605,29.04,29.49,28.95,29.25,583600,0
20010606,29.50,30.00,29.00,29.83,966900,0
20010607,29.50,30.00,29.00,29.07,2735400,0
20010608,29.06,29.20,28.90,29.16,3434000,0
20010611,29.16,29.72,29.16,29.68,9655700,0
20010612,29.50,30.90,29.08,30.80,1463000,0
20010613,30.50,30.75,30.24,30.63,2614200,0
20010614,30.80,31.30,30.55,30.97,2340500,0
20010615,30.25,31.42,30.11,30.95,2926100,0
20010618,30.60,32.01,30.60,31.94,2359100,0
20010619,31.94,32.27,31.40,32.03,41692900,0
20010620,31.90,31.95,30.98,31.26,22112700,0
20010621,31.10,31.25,30.60,31.03,3557100,0
20010622,30.85,30.85,29.65,29.80,28933300,0
20010625,29.20,29.26,28.80,28.80,2249100,0
20010626,28.60,29.25,28.58,29.02,23206700,0
20010627,28.40,28.55,26.65,27.38,3033500,0
20010628,27.37,27.37,26.25,26.30,13988200,0
20010629,26.30,26.90,26.05,26.50,10216900,0
20010702,26.80,27.15,26.35,26.48,1475400,0
20010703,26.49,26.84,26.49,26.51,855900,0
20010704,26.51,26.51,26.51,26.51,0,0
20010705,26.30,27.05,26.30,26.97,8984100,0
20010706,27.20,27.20,25.75,26.32,2184900,0
20010709,26.20,26.22,25.73,25.86,2772200,0
20010710,26.00,26.00,24.80,24.95,1853400,0
20010711,25.25,25.53,24.70,25.17,5982100,0
20010712,25.17,26.50,25.15,25.99,31154600,0
20010713,26.20,26.39,26.00,26.00,13109100,0
20010716,26.20,26.40,25.99,25.99,25818200,0
20010717,25.99,26.40,25.85,25.85,1999300,0
20010718,25.88,26.41,25.82,26.00,5659200,0
20010719,26.60,27.64,26.56,27.56,1345100,0
20010720,27.55,28.25,27.50,27.99,7216100,0
20010723,27.62,27.70,27.31,27.60,987500,0
20010724,27.60,28.04,27.45,27.75,67890600,0
20010725,27.60,28.07,27.60,28.01,845100,0
20010726,27.70,28.20,27.70,28.20,1279300,0
20010727,28.15,28.40,28.00,28.25,345500,0
20010730,28.21,28.59,28.11,28.36,1813600,0
20010731,28.16,28.95,28.16,28.87,568200,0
20010801,28.80,29.11,28.47,28.74,406900,0
20010802,28.74,28.84,28.20,28.40,921800,0
20010803,28.15,28.27,27.81,28.23,960100,0
20010806,28.10,28.26,27.97,28.13,28423500,0
20010807,28.13,28.82,28.06,28.75,5490500,0
20010808,28.50,28.53,28.13,28.22,393800,0
20010809,28.20,28.60,28.20,28.42,539300,0
20010810,28.10,28.22,27.75,27.90,1585500,0
20010813,28.05,28.05,27.65,27.76,797400,0
20010814,27.76,27.85,27.51,27.70,483500,0
20010815,27.70,27.99,26.40,26.45,796700,0
20010816,26.75,27.30,26.30,27.14,4307000,0
20010817,27.00,27.19,26.74,27.00,6626500,0
20010820,26.98,27.51,26.95,27.51,471400,0
20010821,27.60,28.10,27.60,27.79,567900,0
20010822,27.77,27.80,27.40,27.42,44489800,0
20010823,27.42,27.42,26.99,27.29,688400,0
20010824,27.15,27.94,27.09,27.64,6452800,0
20010827,27.65,28.00,27.48,27.50,774200,0
20010828,27.60,27.82,27.16,27.24,6586400,0
20010829,27.24,27.24,26.47,26.70,4365400,0
20010830,26.70,26.75,25.80,26.03,13507600,0
20010831,26.08,26.64,26.08,26.29,1064800,0
20010903,26.29,26.29,26.29,26.29,0,0
20010904,26.60,27.26,26.53,26.96,1455300,0
20010905,26.96,27.15,26.79,26.83,814900,0
20010906,26.78,26.88,25.80,25.97,925000,0
20010907,25.60,25.98,24.50,24.75,976100,0
20010910,24.25,24.85,23.95,24.85,1460100,0
20010911,24.85,24.85,24.85,24.85,0,0
20010917,35.03,35.25,29.95,31.50,22029700,0
20010918,31.50,32.00,30.52,31.56,6424300,0
20010919,31.91,33.30,31.50,32.50,5970200,0
20010920,32.50,33.00,31.50,32.50,6713800,0
20010921,32.40,35.10,31.85,34.04,6291700,0
20010924,34.25,34.35,31.98,32.10,4737400,0
20010925,32.50,33.17,32.37,32.90,3356800,0
20010926,32.80,32.80,31.49,32.17,3271100,0
20010927,32.15,35.00,32.15,34.80,5834500,0
20010928,34.77,35.20,34.70,34.75,4973600,0
20011001,34.75,34.98,33.87,33.98,64827000,0
20011002,34.05,35.05,34.05,34.98,2860600,0
20011003,35.00,35.65,34.91,35.10,4137300,0
20011004,35.10,36.01,34.80,34.83,3103300,0
20011005,35.00,35.70,34.77,34.97,2483300,0
20011008,35.90,37.31,35.85,36.30,5950200,0
20011009,36.45,36.45,35.15,35.21,7434600,0
20011010,34.75,34.90,33.56,33.80,4585500,0
20011011,33.95,34.59,33.95,34.40,6422900,0
20011012,34.20,34.21,33.30,33.74,3118400,0
20011015,33.76,34.45,33.70,34.35,2709600,0
20011016,34.50,34.64,33.96,34.35,2748300,0
20011017,34.10,35.01,33.50,35.00,4363700,0
20011018,33.01,35.03,32.50,34.45,7603200,0
20011019,34.46,34.87,34.30,34.46,3474600,0
20011022,33.15,33.36,32.26,33.20,4617200,0
20011023,33.20,33.85,31.25,31.36,4041400,0
20011024,31.25,32.00,31.00,32.00,4459200,0
20011025,31.60,33.50,31.45,33.25,4402600,0
20011026,33.75,34.35,33.50,34.00,11135200,0
20011029,33.10,34.05,33.01,33.28,5237300,0
20011030,32.95,33.04,32.00,32.35,5176600,0
20011031,32.50,33.05,31.95,32.25,4250100,0
20011101,32.40,34.15,32.26,34.11,3449600,0
20011102,33.90,34.34,33.69,34.25,1717800,0
20011105,34.10,34.20,32.65,33.16,2361800,0
20011106,33.00,33.50,32.41,33.25,1937100,0
20011107,33.00,33.10,32.25,32.59,9636500,0
20011108,32.50,32.79,32.43,32.70,2140800,0
20011109,33.70,33.70,32.55,32.75,2087800,0
20011112,32.65,32.65,32.17,32.46,1064900,0
20011113,32.50,32.77,31.20,31.25,2915600,0
20011114,30.55,31.22,29.80,30.35,4619400,0
20011115,30.06,30.12,29.54,29.82,4090800,0
20011116,29.60,30.95,29.44,30.82,3931600,0
20011119,31.07,32.24,31.05,32.15,2006200,0
20011120,31.90,32.18,31.45,32.06,791300,0
20011121,31.77,32.30,31.42,31.95,1412900,0
20011122,31.95,31.95,31.95,31.95,0,0
20011123,31.75,32.40,31.53,32.02,347400,0
20011126,31.78,32.96,31.76,32.96,1942300,0
20011127,32.85,33.40,32.71,33.40,1725800,0
20011128,33.20,33.29,32.12,32.27,1637400,0
20011129,32.40,32.46,31.62,31.85,1864000,0
20011130,32.00,32.90,31.31,32.77,1486700,0
20011203,32.70,33.41,32.65,33.10,1515300,0
20011204,33.25,33.25,33.00,33.15,1319600,0
20011205,33.16,33.25,32.28,32.36,2325100,0
20011206,32.36,32.40,30.70,31.65,2668200,0
20011207,31.90,32.15,31.50,31.97,1902900,0
20011210,32.00,32.05,31.00,31.44,1439600,0
20011211,31.44,31.61,30.75,31.53,2741500,0
20011212,31.35,32.10,31.30,32.10,43420000,0
20011213,31.95,32.38,31.80,31.98,1274700,0
20011214,32.05,32.70,31.92,32.15,1575200,0
20011217,32.00,32.00,30.75,30.95,3245600,0
20011218,31.00,31.04,30.00,30.22,3482700,0
20011219,29.75,30.16,29.39,29.88,4123500,0
20011220,29.90,31.00,29.90,30.90,1983400,0
20011221,31.15,31.26,30.90,31.25,1429600,0
20011224,31.05,31.45,31.00,31.31,529600,0
20011226,31.56,32.10,31.33,31.75,839600,0
20011227,31.75,32.20,31.75,31.84,27458400,0
20011228,31.85,32.08,31.75,32.00,1760200,0
20011231,32.00,32.47,31.61,32.47,1137100,0
