DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.4883,5.5234,5.1641,5.2578,16152800,0
20010103,5.2578,5.5313,5.0859,5.4063,23410400,0
20010104,5.3516,5.3516,5.0469,5.1406,23998400,0
20010105,5.3125,5.3984,5.2109,5.2188,27999200,0
20010108,5.1563,5.3672,5.1563,5.3047,15271200,0
20010109,5.3164,5.4063,5.2109,5.2188,8768000,0
20010110,5.1641,5.5391,5.1406,5.5000,20499200,0
20010111,5.4375,5.5781,5.4375,5.5391,12019200,0
20010112,5.4609,5.5938,5.4453,5.5938,16632800,0
20010115,5.5938,5.5938,5.5938,5.5938,0,0
20010116,5.5313,5.7031,5.5313,5.6016,11402400,0
20010117,5.6172,5.7031,5.5469,5.6016,11747200,0
20010118,5.6641,5.7266,5.6094,5.6797,12196800,0
20010119,5.6250,5.8438,5.6094,5.7891,15732000,0
20010122,5.8125,5.8281,5.5938,5.6563,11049600,0
20010123,5.6328,5.8203,5.6250,5.7969,9801600,0
20010124,5.8125,5.8125,5.3438,5.4219,24790400,0
20010125,5.4141,5.4922,5.2266,5.3516,19462400,0
20010126,5.5703,5.7266,5.5625,5.7031,22578400,0
20010129,5.7109,6.1719,5.7109,6.1563,46826400,0
20010130,6.0859,6.1094,5.9141,6.0938,18442400,0
20010131,6.0859,6.2578,6.0859,6.2422,31562400,0
20010201,6.1719,6.2109,6.0313,6.1328,20142400,0
20010202,6.0469,6.1016,5.9531,5.9844,23545600,0
20010205,5.9766,6.0000,5.7891,5.9922,17094400,0
20010206,5.9766,6.2500,5.9766,6.2344,27291200,0
20010207,6.1406,6.2578,6.1094,6.2344,14087200,0
20010208,6.2422,6.4141,6.0234,6.0781,27462400,0
20010209,6.0234,6.1484,5.9766,6.0391,11392800,0
20010212,6.0469,6.2656,6.0391,6.2500,13479200,0
20010213,6.1953,6.3516,6.0781,6.1094,16865600,0
20010214,6.0703,6.2344,5.9375,5.9844,16224800,0
20010215,6.0234,6.1797,6.0078,6.1563,11584000,0
20010216,6.1484,6.2188,6.0703,6.1172,8499200,0
20010219,6.1172,6.1172,6.1172,6.1172,0,0
20010220,6.1563,6.2813,6.0313,6.0391,14584000,0
20010221,5.9922,6.1641,5.8594,5.9844,19028000,0
20010222,6.0469,6.0625,5.8438,5.9219,12875200,0
20010223,5.9219,6.0000,5.7617,5.9844,18026400,0
20010226,5.9609,6.0625,5.9531,5.9766,14186400,0
20010227,5.9609,6.1016,5.9453,6.0313,16177600,0
20010228,6.0469,6.0547,5.9219,5.9531,20015200,0
20010301,5.9297,6.0000,5.7891,5.9453,18947200,0
20010302,6.0000,6.1328,5.9375,5.9375,45618400,0
20010305,5.9375,5.9453,5.7578,5.8359,13298400,0
20010306,5.8594,5.9063,5.7813,5.8438,15096800,0
20010307,5.8594,5.8828,5.7422,5.7734,16033600,0
20010308,5.7969,5.9531,5.7656,5.9453,18406400,0
20010309,5.9453,5.9688,5.8516,5.8906,10881600,0
20010312,5.8633,5.8633,5.5938,5.6172,18083200,0
20010313,5.6523,5.6523,5.3203,5.5938,26274400,0
20010314,5.4648,5.5547,5.3281,5.4063,17538400,0
20010315,5.4844,5.5469,5.3906,5.4609,12529600,0
20010316,5.3242,5.5000,5.3125,5.4766,20471200,0
20010319,5.4766,5.5703,5.4453,5.5391,14246400,0
20010320,5.5625,5.6563,5.4063,5.4063,18583200,0
20010321,5.4219,5.4219,5.1094,5.1172,25422400,0
20010322,5.2227,5.2266,4.8203,5.0078,36697600,0
20010323,5.0859,5.1563,4.9063,5.1094,23744800,0
20010326,5.1641,5.3125,5.1641,5.2031,22961600,0
20010327,5.2737,5.3600,5.0862,5.0862,24429600,0
20010328,5.0700,5.1950,5.0237,5.1487,19348800,0
20010329,5.1363,5.4063,5.0625,5.2350,26737600,0
20010330,5.2537,5.4450,5.2425,5.3050,22672000,0
20010402,5.4063,5.4450,5.2500,5.3750,15886400,0
20010403,5.3362,5.3987,5.2038,5.2188,19551200,0
20010404,5.1487,5.1950,5.0625,5.1175,25322400,0
20010405,5.1950,5.2575,5.0075,5.1175,24292800,0
20010406,5.0200,5.0200,4.5388,4.6563,68871200,0
20010409,4.6875,4.8438,4.6875,4.8275,36042400,0
20010410,4.8637,5.1375,4.8625,5.0000,25733600,0
20010411,5.0512,5.1700,5.0037,5.0200,24669600,0
20010412,4.8812,4.9325,4.6775,4.7475,40128000,0
20010416,4.7550,4.9900,4.7537,4.8212,17148000,0
20010417,4.8212,4.9375,4.7825,4.8725,11296000,0
20010418,4.9262,5.2550,4.8812,5.1887,25062400,0
20010419,5.1825,5.2463,5.0500,5.1600,17672800,0
20010420,5.0738,5.1175,4.9587,5.0287,15509600,0
20010423,5.0350,5.1225,4.8650,4.8800,16008000,0
20010424,4.9175,4.9187,4.7063,4.7137,26552800,0
20010425,4.7625,5.0075,4.7100,4.9662,21328000,0
20010426,5.0350,5.1000,4.9375,4.9600,14728800,0
20010427,4.6250,4.6937,4.5938,4.6450,113364800,0
20010430,4.7500,4.9375,4.6375,4.8375,28186800,0
20010501,4.8375,5.2300,4.8000,5.0050,24732800,0
20010502,5.0375,5.0400,4.8075,4.9275,18174400,0
20010503,4.8900,4.8925,4.7250,4.7250,16573600,0
20010504,4.5300,4.7500,4.5125,4.7475,26161200,0
20010507,4.7475,4.8125,4.6750,4.7175,13475200,0
20010508,4.8150,4.8150,4.5400,4.6475,27527600,0
20010509,4.6450,4.7550,4.6000,4.6750,13018800,0
20010510,4.6950,4.7375,4.6275,4.6500,11048800,0
20010511,4.6875,4.7675,4.6425,4.7275,13056000,0
20010514,4.7250,4.8800,4.6500,4.8300,19990000,0
20010515,4.7800,5.0000,4.7775,4.8850,17953200,0
20010516,4.8575,5.0300,4.7750,5.0050,17662400,0
20010517,5.0000,5.2475,5.0000,5.1825,22406400,0
20010518,5.1825,5.2150,5.0425,5.1750,12026400,0
20010521,5.1575,5.2825,5.0825,5.2750,14858000,0
20010522,5.2900,5.3800,5.2325,5.3000,16629200,0
20010523,5.2750,5.2950,4.9950,5.0225,19309200,0
20010524,5.0100,5.1250,4.9125,5.0950,14411600,0
20010525,5.1025,5.1500,4.9600,5.0975,6485200,0
20010528,5.0975,5.0975,5.0975,5.0975,0,0
20010529,5.1000,5.1800,4.9375,4.9675,7961600,0
20010530,4.9325,5.0875,4.9125,5.0225,17629600,0
20010531,5.0250,5.0250,4.7500,4.8800,21649200,0
20010601,5.0000,5.0250,4.7375,4.8975,17561200,0
20010604,4.9050,4.9250,4.7625,4.7975,9155200,0
20010605,4.8050,4.9750,4.7925,4.9250,12632400,0
20010606,4.9125,4.9175,4.7475,4.8050,11585200,0
20010607,4.8100,4.9500,4.7500,4.8500,8757600,0
20010608,4.8650,4.8650,4.7400,4.7600,7353200,0
20010611,4.7700,4.8675,4.7600,4.8050,8231600,0
20010612,4.7425,4.9250,4.7325,4.8525,9881200,0
20010613,4.8800,5.0250,4.8500,4.8900,12250000,0
20010614,4.8725,4.9450,4.7875,4.7975,9737600,0
20010615,4.7725,4.9850,4.7525,4.8850,14226400,0
20010618,4.8950,4.9975,4.6875,4.9250,10192800,0
20010619,4.9800,5.1225,4.9575,5.0825,16412800,0
20010620,5.0625,5.2700,5.0625,5.2425,15650800,0
20010621,5.2325,5.8175,5.2175,5.7125,46433600,0
20010622,5.6500,5.6650,5.4100,5.5050,18395600,0
20010625,5.5050,5.6025,5.4800,5.5425,11832800,0
20010626,5.4375,5.5300,5.4000,5.4725,8456000,0
20010627,5.5000,5.5500,5.3900,5.4825,11782000,0
20010628,5.5250,5.7700,5.5050,5.6625,15636800,0
20010629,5.5675,5.7925,5.4625,5.5375,12855600,0
20010702,5.6200,5.7250,5.5175,5.6925,16495600,0
20010703,5.7125,5.7125,5.4600,5.4875,10766800,0
20010704,5.4875,5.4875,5.4875,5.4875,0,0
20010705,5.4850,5.7100,5.4525,5.4800,12204000,0
20010706,5.2325,5.2325,5.0000,5.1200,36819600,0
20010709,5.1300,5.2675,5.1125,5.2350,19160800,0
20010710,5.2550,5.2550,5.0900,5.1075,26357200,0
20010711,5.0925,5.2375,5.0500,5.1725,23071600,0
20010712,5.2250,5.2650,5.1375,5.1750,24694800,0
20010713,5.1600,5.1625,5.0025,5.1250,20586400,0
20010716,5.1250,5.1500,5.0125,5.0325,16128800,0
20010717,5.0325,5.0625,4.9625,5.0150,14447600,0
20010718,5.0475,5.0500,4.8050,4.8875,16434400,0
20010719,4.9525,5.0100,4.8425,4.8600,11393200,0
20010720,4.8650,5.1125,4.8500,5.0625,15745600,0
20010723,5.0725,5.1425,4.8925,4.9200,8072000,0
20010724,4.9350,5.1125,4.8525,4.9525,10504400,0
20010725,5.0075,5.0075,4.8300,4.9025,14230000,0
20010726,4.9150,4.9150,4.6250,4.7500,16960400,0
20010727,4.5575,4.7500,4.5150,4.6875,28153200,0
20010730,4.6225,4.6750,4.5600,4.6000,12892000,0
20010731,4.6150,4.6375,4.4750,4.5100,17864800,0
20010801,4.5325,4.6375,4.5000,4.6025,20285600,0
20010802,4.6350,4.6375,4.5550,4.6150,11214800,0
20010803,4.5975,4.6050,4.2725,4.4600,21467200,0
20010806,4.5475,4.5525,4.3750,4.3800,12072800,0
20010807,4.4200,4.5450,4.3750,4.4675,14431600,0
20010808,4.4475,4.5225,4.3875,4.4000,16740000,0
20010809,4.3925,4.5750,4.3900,4.5400,16053200,0
20010810,4.5400,4.6100,4.4750,4.4900,14801600,0
20010813,4.5075,4.6375,4.4875,4.5825,9726800,0
20010814,4.6175,4.6250,4.5000,4.5025,11078800,0
20010815,4.5125,4.5675,4.4375,4.4475,10864000,0
20010816,4.4375,4.5200,4.3750,4.5200,12274000,0
20010817,4.4450,4.5575,4.3875,4.4900,11044000,0
20010820,4.4975,4.7075,4.4900,4.6750,11896800,0
20010821,4.6675,4.7725,4.6250,4.7100,12577200,0
20010822,4.6775,4.7250,4.6150,4.6975,12426400,0
20010823,4.6675,4.7325,4.6375,4.6575,11975600,0
20010824,4.6575,4.7500,4.6250,4.6375,15811200,0
20010827,4.6400,4.6475,4.5850,4.6275,12815200,0
20010828,4.6325,4.6500,4.4250,4.4600,14465600,0
20010829,4.4775,4.5100,4.3625,4.3700,15262800,0
20010830,4.3825,4.5625,4.3500,4.3575,21977200,0
20010831,4.2300,4.4100,4.2000,4.2175,31090400,0
20010903,4.2175,4.2175,4.2175,4.2175,0,0
20010904,4.2150,4.3300,4.1150,4.1150,19333200,0
20010905,4.1175,4.2175,4.0375,4.1550,18162400,0
20010906,4.1225,4.1225,3.9450,4.0600,25976800,0
20010907,4.0525,4.2025,4.0125,4.0300,16407600,0
20010910,3.9975,4.1950,3.9850,4.1125,19878000,0
20010911,4.1125,4.1125,4.1125,4.1125,0,0
20010917,3.8675,4.0125,3.8500,3.8775,31039600,0
20010918,3.8925,3.9700,3.7925,3.9000,13815600,0
20010919,3.9275,4.0875,3.7525,3.8525,23525200,0
20010920,3.7875,3.8950,3.6100,3.6675,35120400,0
20010921,3.4450,3.6175,3.3750,3.5700,39072800,0
20010924,3.6475,3.7850,3.5900,3.7425,28145200,0
20010925,3.7700,3.7825,3.5700,3.7625,19012400,0
20010926,3.7525,3.7575,3.4900,3.5000,17522000,0
20010927,3.5100,3.6825,3.4125,3.6325,13029600,0
20010928,3.6950,3.8025,3.6050,3.7100,13044400,0
20011001,3.7025,3.7500,3.5425,3.7000,12580800,0
20011002,3.6400,3.7725,3.5698,3.6400,19807200,0
20011003,3.6300,3.9850,3.6125,3.9200,15771200,0
20011004,3.9625,4.0450,3.7000,3.7675,37015600,0
20011005,4.1025,4.3125,4.0100,4.2400,40616000,0
20011008,4.1775,4.3075,4.1475,4.2725,11103200,0
20011009,4.2475,4.2775,3.8925,4.1075,10077200,0
20011010,4.1600,4.3125,4.1250,4.1975,11095200,0
20011011,4.2300,4.2625,3.9375,4.2550,16119600,0
20011012,4.1875,4.1875,3.8375,4.0000,25653200,0
20011015,3.9725,4.1100,3.9275,4.1075,12518800,0
20011016,4.1400,4.2700,4.0950,4.2175,13246000,0
20011017,4.3125,4.3225,3.9500,3.9725,17913600,0
20011018,3.9600,4.1400,3.8875,4.0750,14707600,0
20011019,4.0375,4.2500,4.0300,4.1525,13762800,0
20011022,4.1875,4.3425,4.1200,4.3025,11777600,0
20011023,4.3500,4.4000,4.2475,4.3000,17425600,0
20011024,4.3100,4.4375,4.2825,4.3450,16971600,0
20011025,4.3225,4.4750,4.2125,4.4525,15752400,0
20011026,4.4175,4.4875,4.3600,4.4650,9453200,0
20011029,4.4375,4.4500,4.2125,4.2375,11954800,0
20011030,4.1900,4.3750,4.0925,4.3325,16904000,0
20011031,4.3425,4.3875,4.2242,4.2800,12055200,0
20011101,4.2900,4.3825,4.2325,4.3200,13722000,0
20011102,4.3500,4.6575,4.3250,4.4725,25278800,0
20011105,4.5650,4.6675,4.5175,4.6500,16478000,0
20011106,4.5750,4.8625,4.5625,4.8175,19461600,0
20011107,4.8200,4.8875,4.6700,4.7500,13848000,0
20011108,4.7600,4.8500,4.6250,4.7200,9376800,0
20011109,4.7550,4.8125,4.6950,4.7575,10363600,0
20011112,4.7800,4.7975,4.5250,4.7750,8520400,0
20011113,4.7800,4.9875,4.6425,4.8275,11186000,0
20011114,4.8300,4.9375,4.7000,4.7800,14154400,0
20011115,4.7650,4.8125,4.7325,4.7925,10102800,0
20011116,4.5125,4.5275,4.2875,4.3750,79037200,0
20011119,4.3875,4.3925,4.2675,4.3450,22259600,0
20011120,4.3525,4.4250,4.2875,4.3450,17709200,0
20011121,4.3525,4.4427,4.2850,4.3275,12851200,0
20011122,4.3275,4.3275,4.3275,4.3275,0,0
20011123,4.3300,4.3548,4.3000,4.3275,2713200,0
20011126,4.3600,4.3700,4.2725,4.3425,15132000,0
20011127,4.3125,4.3675,4.2625,4.2975,17504800,0
20011128,4.2650,4.3350,4.1875,4.2450,15335200,0
20011129,4.2500,4.2550,4.1747,4.2250,14244800,0
20011130,4.2675,4.4425,4.2275,4.4350,23096400,0
20011203,4.4075,4.7275,4.4000,4.6200,33572400,0
20011204,4.6300,4.9225,4.6275,4.9150,27647600,0
20011205,4.9150,4.9925,4.8625,4.9775,27707600,0
20011206,4.9650,4.9675,4.8650,4.8850,13554400,0
20011207,4.8750,4.8875,4.6900,4.7375,13591200,0
20011210,4.7275,4.8475,4.6900,4.7800,12834800,0
20011211,4.8100,4.9025,4.7400,4.7575,9154400,0
20011212,4.7400,4.7400,4.5475,4.6850,18996800,0
20011213,4.5975,4.7375,4.5650,4.6775,14787200,0
20011214,4.6525,4.8950,4.6500,4.8025,13770400,0
20011217,4.8000,4.9125,4.8000,4.8800,12005200,0
20011218,4.7350,4.8800,4.6950,4.8775,12562400,0
20011219,4.8325,4.8500,4.6875,4.7725,10149200,0
20011220,4.7500,4.7600,4.5950,4.6025,11218800,0
20011221,4.6250,4.7850,4.5875,4.7100,15518400,0
20011224,4.6875,4.7750,4.6650,4.7147,2760800,0
20011226,4.7150,4.8125,4.6875,4.7603,5837600,0
20011227,4.7625,4.8750,4.7500,4.8400,6867600,0
20011228,4.8550,4.9475,4.8375,4.8750,6940400,0
20011231,4.8450,4.9400,4.7550,4.7625,9126000,0
20020102,4.7800,4.8950,4.7500,4.8775,11266000,0
20020103,4.8975,5.1250,4.8950,5.1050,24736800,0
20020104,5.4500,5.6875,5.4250,5.5275,62730800,0
20020107,5.5175,5.6200,5.4375,5.4600,23185600,0
20020108,5.4713,5.7025,5.4625,5.6725,21772800,0
20020109,5.7375,5.7400,5.4577,5.4675,18235200,0
20020110,5.4800,5.6250,5.4275,5.6175,17596000,0
20020111,5.6100,5.6375,5.4525,5.4700,20369200,0
20020114,5.4700,5.5050,5.3925,5.4750,18329600,0
20020115,5.4550,5.5025,5.4275,5.4775,14184400,0
20020116,5.4875,5.5100,5.3000,5.3125,11688400,0
20020117,5.2950,5.5025,5.2950,5.5025,13809200,0
20020118,5.5200,5.5625,5.4025,5.4775,13800400,0
20020121,5.4775,5.4775,5.4775,5.4775,0,0
20020122,5.4850,5.5250,5.3425,5.3450,9043600,0
