DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,38.61,39.88,38.61,39.37,6675800,0
20010103,39.21,39.24,37.92,38.40,12393800,0
20010104,38.04,38.07,36.12,37.40,11791400,0
20010105,37.40,38.16,36.69,36.96,6584200,0
20010108,37.28,37.77,36.83,37.08,4615000,0
20010109,37.83,37.98,36.78,37.17,7282400,0
20010110,37.08,37.98,37.01,37.67,7696000,0
20010111,38.13,38.82,37.74,38.73,9695000,0
20010112,38.52,39.12,38.34,39.03,5219600,0
20010115,39.03,39.03,39.03,39.03,0,0
20010116,39.03,39.37,37.98,38.79,7114000,0
20010117,37.80,37.80,36.42,36.83,9685600,0
20010118,36.87,37.26,34.85,35.06,10294000,0
20010119,35.09,35.66,34.49,35.48,8969400,0
20010122,35.63,36.17,35.12,35.45,6045400,0
20010123,35.90,36.15,35.18,35.57,6757200,0
20010124,36.12,36.90,35.42,36.35,5649800,0
20010125,36.38,38.04,35.96,38.01,9040200,0
20010126,37.98,38.01,36.87,37.22,7697000,0
20010129,36.83,37.03,36.19,36.42,5055800,0
20010130,36.74,36.96,35.97,36.35,5095000,0
20010131,36.47,37.01,36.16,36.98,4706600,0
20010201,36.50,36.51,35.94,36.36,3812400,0
20010202,36.84,37.29,36.60,37.08,4939600,0
20010205,37.08,37.87,37.08,37.56,6697800,0
20010206,37.73,38.31,37.05,38.18,6371800,0
20010207,38.01,38.47,37.56,38.12,8329200,0
20010208,38.12,38.46,37.67,37.74,5878200,0
20010209,38.04,38.45,37.44,37.65,4858200,0
20010212,35.87,36.16,32.99,33.22,30477000,0
20010213,32.74,32.94,30.72,30.83,37295200,0
20010214,31.17,31.70,30.58,31.51,27961000,0
20010215,31.54,31.54,30.51,30.93,15092400,0
20010216,31.30,31.49,30.60,31.06,17278800,0
20010219,31.06,31.06,31.06,31.06,0,0
20010220,31.36,31.73,31.15,31.38,11110000,0
20010221,30.67,31.26,30.52,30.57,11131800,0
20010222,31.29,31.53,29.94,30.16,11803000,0
20010223,30.23,30.55,28.83,28.98,12068000,0
20010226,29.89,31.39,29.72,31.22,15737800,0
20010227,31.25,31.37,30.91,31.10,8766200,0
20010228,31.19,31.26,30.38,30.78,7727000,0
20010301,30.81,31.17,30.42,30.58,8348400,0
20010302,30.72,31.87,30.50,31.58,8198600,0
20010305,31.62,32.45,31.42,31.99,5393600,0
20010306,31.87,32.63,31.63,32.40,5632000,0
20010307,32.40,33.42,32.40,33.42,8284600,0
20010308,33.20,33.59,32.60,33.30,7693200,0
20010309,33.13,33.61,32.76,33.18,7160800,0
20010312,33.19,33.49,32.08,32.83,6853600,0
20010313,32.65,32.65,31.80,31.94,6283200,0
20010314,31.87,32.57,31.23,31.43,6947200,0
20010315,31.43,31.68,30.42,30.73,7691400,0
20010316,29.99,30.81,29.45,29.56,12111800,0
20010319,29.87,30.91,29.87,30.65,6448000,0
20010320,30.98,32.01,30.77,31.42,7572400,0
20010321,30.74,31.42,30.33,30.42,6491400,0
20010322,30.19,30.26,28.88,29.44,10645400,0
20010323,29.87,30.86,29.34,30.33,7771000,0
20010326,30.61,31.27,30.61,30.81,6153000,0
20010327,31.05,31.26,29.97,30.33,6205400,0
20010328,30.23,30.27,29.12,29.24,6342600,0
20010329,28.78,28.89,27.67,27.91,10501200,0
20010330,28.01,28.73,27.77,27.82,14008800,0
20010402,27.89,27.93,26.38,26.68,10109000,0
20010403,27.00,27.09,25.51,25.61,12499200,0
20010404,25.83,26.81,25.76,26.09,12803400,0
20010405,26.74,27.69,26.48,27.52,10900200,0
20010406,27.08,28.47,26.76,27.99,12761800,0
20010409,28.92,29.17,28.49,29.12,9108600,0
20010410,29.45,29.84,28.76,29.80,11152000,0
20010411,29.70,29.79,29.06,29.06,6420800,0
20010412,29.19,29.89,29.19,29.56,10133400,0
20010416,29.56,30.21,29.39,30.01,4219600,0
20010417,29.82,30.56,29.67,30.25,6406600,0
20010418,30.35,30.90,29.34,29.51,12383600,0
20010419,29.65,29.82,28.40,28.59,10390800,0
20010420,28.98,29.58,28.64,29.34,8965800,0
20010423,29.83,30.16,29.75,30.06,6096600,0
20010424,30.03,30.28,29.46,29.76,5730600,0
20010425,29.76,30.52,29.32,30.43,5394400,0
20010426,30.91,32.54,30.91,32.53,10673600,0
20010427,32.60,32.60,31.59,31.87,8228800,0
20010430,31.97,32.55,31.58,32.01,5836600,0
20010501,32.01,32.09,31.01,31.33,6225800,0
20010502,29.94,30.01,29.50,29.73,10264600,0
20010503,29.94,30.28,29.33,29.81,7375400,0
20010504,30.24,30.61,29.98,30.40,4643600,0
20010507,30.84,30.95,29.70,30.12,4284600,0
20010508,29.73,30.05,29.41,29.85,5327200,0
20010509,30.17,30.47,30.11,30.40,6782600,0
20010510,30.40,30.67,29.94,30.24,4658200,0
20010511,30.14,30.15,29.73,29.91,3062400,0
20010514,30.25,30.78,30.08,30.78,4443400,0
20010515,31.32,31.92,31.14,31.74,6769800,0
20010516,31.68,32.12,31.46,31.98,5467200,0
20010517,32.14,32.96,31.59,32.83,8565000,0
20010518,33.07,33.44,32.68,33.10,7151800,0
20010521,33.17,33.35,32.76,33.06,5602000,0
20010522,33.06,33.07,32.31,32.47,6720200,0
20010523,32.21,32.22,31.34,31.39,5735800,0
20010524,31.39,31.39,30.58,30.83,5385200,0
20010525,31.15,31.33,30.86,30.93,4415800,0
20010528,30.93,30.93,30.93,30.93,0,0
20010529,31.25,31.45,30.49,30.59,6082400,0
20010530,30.69,30.76,29.75,30.10,5217400,0
20010531,29.87,30.67,29.56,30.44,6643200,0
20010601,30.44,30.61,29.91,30.34,4085600,0
20010604,30.66,31.46,30.65,31.44,5687200,0
20010605,31.44,31.90,31.01,31.72,4721200,0
20010606,31.05,31.05,29.98,29.98,8314600,0
20010607,29.98,30.57,29.50,29.62,7744200,0
20010608,30.00,30.02,29.12,29.20,6429600,0
20010611,29.52,29.59,28.84,28.97,6405800,0
20010612,29.31,29.48,29.03,29.35,5616000,0
20010613,29.96,30.25,29.14,29.17,5439200,0
20010614,28.70,28.74,27.13,27.56,15453200,0
20010615,27.92,28.09,27.49,27.75,8602200,0
20010618,27.64,28.00,27.30,27.42,4120200,0
20010619,27.78,27.78,26.97,27.30,4826400,0
20010620,27.56,27.69,26.58,26.59,5981600,0
20010621,26.83,26.88,25.25,25.95,12288400,0
20010622,25.96,26.55,25.48,26.20,10020200,0
20010625,26.38,26.43,25.84,26.08,8094200,0
20010626,26.10,26.49,25.96,26.41,8447800,0
20010627,26.27,26.27,25.69,25.69,7142000,0
20010628,25.58,25.75,24.77,25.49,12943000,0
20010629,25.69,26.17,25.16,25.50,8217400,0
20010702,25.82,25.85,24.92,25.24,6965400,0
20010703,25.65,26.13,25.55,25.86,5731800,0
20010704,25.86,25.86,25.86,25.86,0,0
20010705,25.92,26.43,25.92,26.06,7359000,0
20010706,26.40,26.47,25.41,25.80,7747000,0
20010709,25.84,25.86,24.80,25.09,8547600,0
20010710,25.16,25.48,24.51,24.66,10049600,0
20010711,24.51,24.85,23.59,24.83,10841000,0
20010712,24.56,25.31,23.85,24.09,10839400,0
20010713,23.78,25.13,23.76,24.43,7428000,0
20010716,24.43,24.66,23.27,23.68,10356000,0
20010717,23.91,24.17,23.38,23.71,9072200,0
20010718,23.40,24.36,22.72,24.05,13194400,0
20010719,24.22,24.78,24.22,24.69,9390800,0
20010720,24.94,25.89,24.91,25.89,12876200,0
20010723,25.99,26.33,25.67,26.15,7212800,0
20010724,26.16,26.20,25.72,26.01,6975400,0
20010725,26.16,27.35,25.86,27.35,10307000,0
20010726,27.26,27.56,26.03,26.53,11183600,0
20010727,26.55,27.22,25.85,27.14,5333200,0
20010730,27.17,27.51,26.95,27.22,4395600,0
20010731,27.13,27.51,26.03,26.03,6812000,0
