DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,17.56,17.56,17.23,17.29,1373200,0
20010103,17.39,17.70,16.46,16.76,3013100,0
20010104,16.56,16.56,15.08,15.55,6276600,0
20010105,15.58,15.95,15.28,15.28,4529500,0
20010108,15.28,15.72,15.28,15.68,1497600,0
20010109,15.62,15.72,15.38,15.72,1653200,0
20010110,15.72,15.92,15.32,15.48,2007700,0
20010111,15.55,15.55,14.34,14.65,2741200,0
20010112,14.75,15.05,14.38,15.05,2201300,0
20010115,15.05,15.05,15.05,15.05,0,0
20010116,14.75,14.91,14.18,14.91,2951500,0
20010117,14.85,15.01,14.55,14.75,1819000,0
20010118,14.85,15.01,14.48,14.81,3111100,0
20010119,14.41,15.35,14.38,15.11,2915800,0
20010122,15.11,15.48,15.05,15.38,1419300,0
20010123,15.38,15.85,15.28,15.45,1754100,0
20010124,15.45,15.85,15.45,15.68,1214700,0
20010125,15.72,16.02,15.68,15.85,1501100,0
20010126,15.89,15.99,15.22,15.58,1618500,0
20010129,15.72,16.05,15.70,15.77,943600,0
20010130,15.68,15.90,15.58,15.80,1621500,0
20010131,15.80,15.80,15.56,15.65,2457700,0
20010201,15.64,15.64,15.27,15.44,2482500,0
20010202,15.43,15.65,15.39,15.58,1623900,0
20010205,15.58,15.87,15.58,15.76,1142000,0
20010206,15.76,15.89,15.61,15.87,1265000,0
20010207,15.87,16.13,15.79,15.98,1529800,0
20010208,16.08,16.31,16.05,16.31,1527000,0
20010209,16.34,16.54,16.27,16.38,1214100,0
20010212,16.44,16.68,16.19,16.58,2497700,0
20010213,16.57,16.67,16.25,16.52,2118200,0
20010214,16.54,16.62,16.22,16.39,1455400,0
20010215,16.39,16.39,15.95,16.06,2481300,0
20010216,16.40,16.50,16.30,16.45,1701100,0
20010219,16.45,16.45,16.45,16.45,0,0
20010220,16.45,16.77,16.41,16.74,1726000,0
20010221,16.82,16.89,16.57,16.57,1739400,0
20010222,16.63,17.03,16.32,16.59,1472700,0
