DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,24.00,24.56,23.81,24.31,0,0
20010103,24.44,25.00,24.31,24.88,13310,0
20010104,25.00,25.06,24.81,24.94,21120,0
20010105,25.00,25.38,25.00,25.13,9940,0
20010108,25.13,25.50,25.00,25.00,0,0
20010109,24.81,25.25,24.75,25.19,505408,0
20010110,25.13,25.31,25.06,25.31,2313,0
20010111,25.25,25.50,25.19,25.44,0,0
20010112,25.31,25.50,25.19,25.38,2370,0
20010115,25.38,25.38,25.38,25.38,0,0
20010116,25.44,25.56,25.25,25.56,4811,0
20010117,25.56,25.56,25.38,25.56,2312,0
20010118,25.50,25.56,25.50,25.56,0,0
20010119,25.44,25.56,25.44,25.56,715,0
20010122,25.56,25.56,25.56,25.56,0,0
20010123,25.69,25.88,25.63,25.81,1520,0
20010124,25.94,26.19,25.88,26.13,3343,0
20010125,25.94,26.38,25.88,26.38,0,0
20010126,26.19,26.25,26.06,26.19,0,0
20010129,26.72,26.94,26.47,26.75,315500,0
20010130,26.44,26.94,26.44,26.78,1362300,0
20010131,26.40,26.45,26.20,26.33,0,0
20010201,26.08,26.40,26.03,26.18,0,0
20010202,26.18,26.44,26.18,26.42,0,0
20010205,26.48,26.48,26.19,26.19,0,0
20010206,26.20,26.29,25.90,26.00,848500,0
20010207,25.75,25.80,25.55,25.60,536700,0
20010208,25.80,25.80,25.55,25.55,143500,0
20010209,25.56,25.75,25.15,25.36,5487700,0
20010212,25.30,25.79,25.25,25.55,0,0
20010213,25.75,25.95,25.51,25.88,294400,0
20010214,25.51,25.58,25.35,25.52,0,0
20010215,25.70,25.70,25.35,25.51,202300,0
20010216,25.14,25.30,25.00,25.10,0,0
20010219,25.10,25.10,25.10,25.10,0,0
20010220,25.10,25.50,25.00,25.33,111500,0
20010221,25.28,25.32,25.05,25.22,126600,0
20010222,25.24,25.24,24.83,24.93,137400,0
20010223,24.93,25.22,24.93,25.04,288600,0
20010226,25.10,25.10,24.85,25.08,143600,0
20010227,25.00,25.15,24.88,25.10,2097900,0
20010228,25.15,25.61,25.10,25.61,225400,0
20010301,25.55,25.74,25.40,25.73,232800,0
20010302,25.70,25.80,25.60,25.80,177200,0
20010305,25.85,25.90,25.70,25.77,127500,0
20010306,25.47,25.75,25.40,25.75,189200,0
20010307,25.60,25.75,25.40,25.49,297800,0
20010308,25.50,25.64,25.45,25.55,265400,0
20010309,25.58,25.85,25.55,25.65,383000,0
20010312,25.90,25.99,25.50,25.65,336300,0
20010313,25.65,25.65,25.36,25.46,281800,0
20010314,25.21,25.38,25.18,25.30,5687300,0
20010315,25.35,25.35,25.00,25.25,435200,0
20010316,25.35,25.35,25.00,25.12,314700,0
20010319,23.75,25.00,23.75,25.00,419200,0
20010320,25.00,25.49,24.90,25.23,494300,0
20010321,25.85,25.85,25.31,25.40,168000,0
20010322,25.40,25.40,24.60,25.20,338200,0
20010323,25.05,25.81,24.95,25.23,347600,0
20010326,25.10,25.75,25.08,25.75,450800,0
20010327,25.85,25.85,25.21,25.27,323900,0
20010328,25.17,25.45,24.97,25.14,710900,0
20010329,25.10,25.50,25.03,25.45,172700,0
20010330,25.44,25.90,25.25,25.47,1168400,0
20010402,25.15,25.51,25.13,25.51,268200,0
20010403,25.55,25.60,25.40,25.44,220700,0
20010404,25.30,25.59,25.19,25.50,215500,0
20010405,25.50,26.06,25.50,26.04,329200,0
20010406,25.90,26.15,25.64,25.81,120100,0
20010409,25.80,26.15,25.75,25.96,114000,0
20010410,26.10,26.10,25.72,25.80,111600,0
20010411,25.70,25.70,25.09,25.20,1110200,0
20010412,25.24,25.50,25.21,25.40,325100,0
20010416,25.39,25.99,25.15,25.30,176300,0
20010417,25.50,25.75,25.39,25.73,125300,0
20010418,25.70,26.45,25.62,26.34,14321300,0
20010419,26.34,26.47,25.97,26.30,203400,0
20010420,26.45,26.45,25.85,26.23,155600,0
20010423,26.45,26.45,25.85,26.36,145200,0
20010424,26.30,26.31,26.00,26.13,177000,0
20010425,26.14,26.20,26.01,26.18,164600,0
20010426,26.38,26.50,26.38,26.47,196600,0
20010427,26.41,26.50,26.15,26.42,2157600,0
20010430,26.67,26.70,26.31,26.47,8259000,0
20010501,26.47,26.50,26.22,26.27,216000,0
20010502,26.10,26.30,26.10,26.15,141500,0
20010503,26.16,26.24,26.02,26.02,201500,0
20010504,26.10,26.24,25.96,26.10,360600,0
20010507,26.06,26.14,25.80,25.99,1142800,0
20010508,25.95,26.00,25.51,25.90,409600,0
20010509,25.75,25.75,25.51,25.60,6275500,0
20010510,25.60,25.60,25.50,25.54,359500,0
20010511,25.50,25.60,25.42,25.55,5280900,0
20010514,25.70,25.73,25.47,25.66,207900,0
20010515,25.70,26.15,25.62,26.11,266400,0
20010516,25.83,26.10,25.52,26.10,288800,0
20010517,26.01,26.40,26.01,26.29,455400,0
20010518,26.10,26.48,26.10,26.47,271100,0
20010521,26.50,26.75,26.27,26.75,588900,0
20010522,26.60,27.13,26.50,27.05,11370300,0
20010523,27.01,27.15,26.91,27.09,513200,0
20010524,27.09,27.30,26.85,27.22,1645900,0
20010525,27.24,27.24,27.01,27.15,3310200,0
20010528,27.15,27.15,27.15,27.15,0,0
20010529,27.25,27.25,26.79,26.95,660700,0
20010530,27.00,27.10,26.70,26.85,168200,0
20010531,26.95,27.11,26.81,27.05,3207100,0
20010601,27.15,27.32,27.00,27.13,256800,0
20010604,27.30,27.30,27.10,27.30,1829800,0
20010605,27.15,27.30,27.08,27.30,268700,0
20010606,27.45,27.60,27.30,27.52,189100,0
20010607,27.53,27.56,27.33,27.55,163100,0
20010608,27.60,27.60,27.16,27.52,126000,0
20010611,27.60,28.00,27.60,27.84,197100,0
20010612,27.90,28.75,27.90,28.57,1319400,0
20010613,28.57,28.68,28.30,28.36,3217600,0
20010614,28.39,28.40,28.35,28.35,250200,0
20010615,28.10,28.30,27.70,27.94,351800,0
20010618,28.00,28.19,27.92,28.17,7366100,0
20010619,27.96,28.55,27.96,28.35,3467300,0
20010620,28.35,28.57,28.35,28.40,403100,0
20010621,28.65,28.84,28.45,28.81,4274100,0
20010622,29.00,29.00,28.60,28.80,163700,0
20010625,28.65,28.84,28.60,28.72,215000,0
20010626,28.70,29.24,28.70,29.16,327300,0
20010627,28.50,28.94,28.50,28.87,1447800,0
20010628,28.85,29.12,28.75,29.10,127900,0
20010629,29.10,29.97,29.07,29.97,724000,0
20010702,29.62,29.63,29.15,29.45,368600,0
20010703,29.30,29.65,29.21,29.49,269500,0
20010704,29.49,29.49,29.49,29.49,0,0
20010705,29.45,29.68,29.40,29.58,99800,0
20010706,29.60,29.65,29.41,29.50,5173300,0
20010709,29.20,29.47,29.00,29.04,1417000,0
20010710,28.90,29.15,28.90,29.09,226600,0
20010711,28.88,29.09,28.80,29.05,2158800,0
20010712,28.93,29.16,28.90,29.10,361500,0
20010713,29.10,29.10,29.00,29.04,286300,0
20010716,28.90,29.13,28.90,29.02,89000,0
20010717,29.05,29.10,28.90,29.10,5225100,0
20010718,28.90,29.19,28.90,29.14,217100,0
20010719,29.14,29.35,29.00,29.31,5154300,0
20010720,29.35,29.48,29.25,29.48,1166700,0
20010723,29.49,29.49,29.20,29.26,1205700,0
20010724,29.10,29.32,28.90,28.90,11340700,0
20010725,28.65,29.00,28.65,28.99,18374800,0
20010726,29.00,29.00,28.68,28.88,349000,0
20010727,29.10,29.15,28.80,28.84,10208500,0
20010730,28.71,28.71,28.46,28.50,207500,0
20010731,28.45,28.60,28.34,28.37,107300,0
20010801,28.32,28.67,28.32,28.60,154900,0
20010802,28.70,28.70,28.48,28.49,451400,0
20010803,28.52,28.75,28.50,28.65,6243000,0
20010806,28.50,28.69,28.50,28.64,229900,0
20010807,28.64,28.73,28.55,28.70,10216400,0
20010808,28.75,28.95,28.60,28.77,489900,0
20010809,28.93,29.25,28.86,29.15,2499300,0
20010810,29.25,29.60,29.16,29.51,8294700,0
20010813,29.70,29.75,29.40,29.57,1297400,0
20010814,29.45,29.75,29.45,29.75,320800,0
20010815,29.95,30.19,29.76,30.18,695000,0
20010816,29.70,29.95,29.58,29.90,217400,0
20010817,29.98,30.15,29.75,30.15,6186200,0
20010820,30.00,30.55,29.94,30.50,372700,0
20010821,30.40,30.97,30.36,30.87,2278900,0
20010822,30.93,30.95,30.50,30.85,1265700,0
20010823,30.70,30.80,30.40,30.40,1405300,0
20010824,30.45,30.54,29.65,29.71,1658400,0
20010827,29.70,29.95,29.40,29.84,11340800,0
20010828,29.80,29.89,29.72,29.76,1217300,0
20010829,29.75,29.87,29.19,29.28,322400,0
20010830,29.29,29.80,29.25,29.25,5266600,0
20010831,29.20,29.38,29.03,29.30,333600,0
20010903,29.30,29.30,29.30,29.30,0,0
20010904,29.20,29.35,29.04,29.24,2258500,0
20010905,29.00,29.18,28.89,29.13,393000,0
20010906,29.15,29.39,29.07,29.28,2501800,0
20010907,29.20,29.25,28.88,28.93,348700,0
20010910,28.95,29.05,28.65,28.94,6323900,0
20010911,28.94,28.94,28.94,28.94,0,0
20010917,27.25,27.50,26.40,27.01,1252100,0
20010918,26.80,27.56,26.65,27.44,403900,0
20010919,27.75,27.75,26.45,26.82,671600,0
20010920,26.38,26.50,25.73,26.00,778500,0
20010921,26.00,26.00,25.08,25.48,7747800,0
20010924,26.35,26.71,25.85,25.98,399900,0
20010925,25.90,26.72,25.86,26.29,30491900,0
20010926,26.54,26.75,26.12,26.75,880200,0
20010927,26.75,26.94,26.50,26.93,39608700,0
20010928,26.99,27.20,26.76,26.91,1153500,0
20011001,27.10,27.50,26.94,27.30,559700,0
20011002,27.45,27.67,27.00,27.18,410600,0
20011003,26.80,26.94,26.50,26.90,37876800,0
20011004,27.50,27.53,27.25,27.35,1019300,0
20011005,27.20,27.31,26.99,27.30,1092600,0
20011008,27.30,27.69,27.25,27.59,388000,0
20011009,27.85,28.23,27.76,28.16,756300,0
20011010,28.05,28.40,27.96,28.36,7445600,0
20011011,28.27,29.06,28.26,29.04,604700,0
20011012,28.96,28.97,28.40,28.75,6357800,0
20011015,28.80,28.99,28.61,28.89,3347500,0
20011016,28.85,28.90,28.31,28.75,665900,0
20011017,28.56,28.91,28.56,28.65,6305000,0
20011018,28.50,28.73,28.10,28.36,376800,0
20011019,28.33,28.34,27.53,27.56,1495800,0
20011022,27.60,28.09,26.91,27.23,584400,0
20011023,27.40,27.89,27.28,27.39,1256400,0
20011024,27.64,27.70,26.98,27.09,656500,0
20011025,27.05,27.21,26.97,27.12,635900,0
20011026,27.12,27.35,26.92,27.21,12320000,0
20011029,27.05,27.39,26.90,27.11,318900,0
20011030,27.30,27.35,26.40,26.84,450600,0
20011031,26.84,27.49,26.76,27.39,697500,0
20011101,27.40,28.20,27.40,27.96,428400,0
20011102,27.90,28.10,27.50,27.89,306300,0
20011105,28.00,28.25,27.81,27.83,258200,0
20011106,27.95,28.05,27.72,27.97,707800,0
20011107,28.00,28.25,27.70,27.90,778200,0
20011108,27.90,28.25,27.83,28.19,294600,0
20011109,28.20,28.55,27.85,27.99,636500,0
20011112,28.15,28.23,27.75,28.03,1238500,0
20011113,28.18,28.72,28.14,28.53,413100,0
20011114,28.53,29.06,28.51,28.97,819900,0
20011115,28.56,28.85,28.55,28.80,428900,0
20011116,28.55,29.06,28.55,28.71,511000,0
20011119,28.85,28.85,28.10,28.53,1347700,0
20011120,28.52,28.70,28.25,28.49,12421600,0
20011121,28.50,28.59,28.26,28.49,2138400,0
20011122,28.49,28.49,28.49,28.49,0,0
20011123,28.60,28.74,28.49,28.56,84700,0
20011126,28.59,28.76,28.00,28.46,1205300,0
20011127,28.50,28.80,28.50,28.59,273900,0
20011128,28.65,29.10,28.65,28.88,495700,0
20011129,28.80,29.11,28.38,28.95,1320500,0
20011130,28.99,29.25,28.85,28.89,472600,0
20011203,29.00,29.46,28.85,29.12,440300,0
20011204,29.30,29.52,29.20,29.45,10376300,0
20011205,29.55,29.73,29.50,29.66,551500,0
20011206,29.85,29.85,29.65,29.65,607300,0
20011207,29.68,29.93,29.60,29.93,434600,0
20011210,29.90,29.90,29.39,29.70,2400300,0
20011211,29.60,29.94,29.60,29.85,682000,0
20011212,29.97,29.97,29.30,29.87,1197900,0
20011213,29.80,29.82,29.39,29.54,912400,0
20011214,29.50,29.64,29.35,29.44,486300,0
20011217,29.43,29.77,29.21,29.70,503100,0
20011218,29.85,29.95,29.60,29.66,6615900,0
20011219,29.67,29.69,29.35,29.52,259000,0
20011220,29.50,29.51,29.00,29.00,479900,0
20011221,29.01,29.30,28.95,29.15,340300,0
20011224,29.20,29.45,29.10,29.28,119600,0
20011226,29.10,29.58,29.00,29.35,312900,0
20011227,29.44,29.60,29.02,29.31,214300,0
20011228,29.35,29.42,28.98,29.22,482600,0
20011231,29.02,29.53,28.87,29.33,355500,0
20020102,29.36,29.64,28.80,29.38,352100,0
20020103,29.45,29.85,29.45,29.82,504000,0
