DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,47.56,50.44,47.50,49.94,80281,0
20010103,50.38,53.06,50.25,51.00,110634,0
20010104,51.13,52.75,50.94,51.75,95251,0
20010105,51.75,52.00,49.44,50.00,428576,0
20010108,49.94,50.69,48.81,50.13,63006,0
20010109,50.00,52.25,49.75,51.94,54605,0
20010110,51.00,52.50,50.69,52.38,47567,0
20010111,52.44,52.44,51.31,52.38,37685,0
20010112,52.13,52.44,49.88,50.94,56341,0
20010115,50.94,50.94,50.94,50.94,0,0
20010116,50.50,50.88,48.38,50.06,60079,0
20010117,49.94,51.00,49.69,50.31,47260,0
20010118,50.44,51.19,49.94,50.56,48421,0
20010119,50.00,50.31,49.31,49.69,52504,0
20010122,49.69,49.69,49.69,49.69,0,0
20010123,48.25,49.69,47.69,49.31,54805,0
20010124,48.50,48.50,46.69,47.38,94202,0
20010125,47.94,48.13,46.25,47.38,72767,0
20010126,47.06,47.44,45.25,46.63,188067,0
20010129,48.34,50.09,48.00,49.81,5204400,0
20010130,47.06,50.09,47.00,49.88,4120100,0
20010131,48.00,48.40,47.25,48.35,5413600,0
20010201,48.80,50.75,48.70,50.55,7118500,0
20010202,50.98,51.24,49.27,49.52,8339100,0
20010205,49.10,49.70,48.00,49.70,6459000,0
20010206,49.60,49.80,48.84,49.75,4421400,0
20010207,49.95,49.95,48.10,48.65,4557200,0
20010208,48.45,48.67,47.80,48.17,4423000,0
20010209,48.05,48.12,46.00,46.57,6957300,0
20010212,46.62,48.31,46.62,47.77,5857600,0
20010213,47.77,48.52,47.26,48.46,4853300,0
20010214,48.45,49.09,46.83,47.00,3436400,0
20010215,47.91,48.29,46.86,47.00,3556500,0
20010216,46.99,48.25,46.43,47.72,4795100,0
20010219,47.72,47.72,47.72,47.72,0,0
20010220,47.97,49.01,47.49,48.77,48500000,0
20010221,48.25,48.55,47.21,47.50,4795500,0
20010222,47.50,48.93,46.76,48.93,5693100,0
20010223,48.23,50.00,47.50,49.72,6406100,0
20010226,49.72,50.30,49.41,50.30,5024000,0
20010227,50.30,50.79,50.00,50.59,6278100,0
20010228,50.63,50.82,47.35,47.70,7980600,0
20010301,48.20,48.20,45.50,45.50,8493200,0
20010302,42.60,46.58,42.60,46.57,32810000,0
20010305,46.10,46.10,44.90,45.41,6115600,0
20010306,45.90,46.80,45.65,46.01,6336800,0
20010307,45.25,45.69,43.60,43.97,7358100,0
20010308,44.40,45.69,44.25,45.45,4614700,0
20010309,45.21,46.19,44.56,45.00,6020900,0
20010312,44.50,46.70,44.45,44.89,6470200,0
20010313,44.61,45.10,43.95,44.93,5675500,0
20010314,42.51,43.95,41.00,42.11,10311500,0
20010315,43.00,43.05,41.87,42.78,8601700,0
20010316,42.10,42.61,41.75,42.14,10715100,0
20010319,41.95,43.80,41.73,43.07,5343200,0
20010320,42.96,43.10,40.88,40.90,5369100,0
20010321,40.20,40.84,39.85,40.12,7117200,0
20010322,40.12,41.00,39.73,40.51,9829700,0
20010323,40.10,41.86,39.78,41.86,7653100,0
20010326,42.05,42.20,40.50,40.91,6905200,0
20010327,41.45,44.30,41.25,43.90,7702700,0
20010328,43.25,43.50,41.78,42.19,6721000,0
20010329,41.38,44.19,41.38,43.48,6245600,0
20010330,43.65,44.63,43.03,44.63,5734800,0
20010402,44.94,45.05,43.13,43.76,5812200,0
20010403,44.30,44.30,42.70,43.12,6186100,0
20010404,43.00,44.01,42.80,43.98,5988700,0
20010405,44.30,44.74,43.36,44.44,8385000,0
20010406,44.35,44.35,41.99,43.30,7133600,0
20010409,42.85,43.68,42.41,43.35,5754000,0
20010410,43.50,43.87,42.59,42.99,6730800,0
20010411,42.21,42.30,40.90,41.20,9036400,0
20010412,41.05,41.47,40.20,41.18,7596100,0
20010416,41.80,42.19,41.31,41.99,5209200,0
20010417,41.80,43.35,41.80,43.17,5526000,0
20010418,42.51,43.59,41.30,41.74,10137800,0
20010419,41.60,41.60,40.94,41.35,6998100,0
