DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,32.62,33.56,32.44,33.25,4006900,0
20010103,33.25,36.38,32.62,36.25,10649500,0
20010104,36.00,38.00,35.50,36.94,9458900,0
20010105,36.00,36.44,34.19,34.69,5976000,0
20010108,34.50,35.12,33.81,34.38,4250100,0
20010109,34.38,34.69,33.81,34.50,2973500,0
20010110,33.88,34.62,33.56,34.44,3963300,0
20010111,34.00,34.38,33.00,33.44,5940100,0
20010112,33.44,35.25,33.44,34.81,6434700,0
20010115,34.81,34.81,34.81,34.81,0,0
20010116,34.88,36.50,34.69,35.88,6586900,0
20010117,36.00,36.44,35.62,35.81,5477000,0
20010118,36.06,36.06,33.75,34.56,5461300,0
20010119,34.00,34.25,32.62,32.75,4199200,0
20010122,34.50,35.75,34.25,34.56,6471400,0
20010123,35.25,36.81,35.06,36.00,5032800,0
20010124,36.00,36.62,35.69,36.31,3863500,0
20010125,35.75,37.75,35.50,36.69,5119400,0
20010126,37.25,37.56,36.19,36.38,4109800,0
20010129,36.37,38.00,36.28,36.85,3644700,0
20010130,37.00,37.00,36.00,36.50,3190500,0
20010131,36.60,38.61,36.45,37.98,7961400,0
20010201,37.98,38.25,36.85,37.90,7482200,0
20010202,37.90,38.25,36.55,36.97,4520800,0
20010205,36.97,36.99,36.03,36.35,3328400,0
20010206,36.35,37.60,36.00,36.29,3878400,0
20010207,36.29,37.09,36.20,36.69,3093100,0
20010208,35.75,35.95,34.50,35.36,5310300,0
20010209,35.36,35.74,33.07,33.95,4632300,0
20010212,33.40,36.40,33.31,36.15,6889000,0
20010213,36.15,37.15,35.73,36.83,3283700,0
20010214,36.90,37.10,36.30,36.61,3200200,0
20010215,36.95,37.05,36.20,36.50,2927800,0
20010216,36.15,37.45,35.00,35.72,3509100,0
20010219,35.72,35.72,35.72,35.72,0,0
20010220,36.20,38.75,36.14,37.25,5313900,0
20010221,37.00,37.00,34.50,34.80,3502400,0
20010222,36.25,36.25,34.25,35.80,5262400,0
20010223,35.50,36.24,34.74,35.74,4890300,0
20010226,36.75,37.80,36.46,37.80,4006300,0
20010227,38.25,39.07,37.76,38.37,6374300,0
20010228,38.70,39.60,38.11,39.00,6823100,0
20010301,37.90,38.06,36.51,37.29,4942400,0
20010302,36.62,37.20,35.91,36.95,4605100,0
20010305,37.20,38.00,36.00,36.40,4319700,0
20010306,38.50,39.40,37.20,38.00,8418600,0
20010307,38.90,39.20,37.60,38.30,7579200,0
20010308,38.85,39.50,37.80,38.00,7903900,0
20010309,38.00,38.16,37.50,37.60,3578100,0
20010312,37.25,37.47,36.50,36.51,3816300,0
20010313,36.51,36.90,34.41,35.65,5818400,0
20010314,34.75,36.40,34.05,35.50,4867700,0
20010315,35.80,36.30,34.55,35.57,3601800,0
20010316,35.20,35.75,34.85,34.93,4756200,0
20010319,35.40,35.90,34.65,35.60,2937200,0
20010320,37.00,37.95,35.75,35.75,4562000,0
20010321,35.75,37.25,35.15,36.87,4634000,0
20010322,36.05,36.06,32.65,34.50,6777300,0
20010323,34.35,35.07,33.35,34.90,4126200,0
20010326,35.85,36.25,34.75,35.79,3585300,0
20010327,36.10,36.99,35.50,36.88,3645100,0
20010328,35.90,36.50,35.40,36.15,4859200,0
20010329,35.80,36.09,34.65,35.46,4727200,0
20010330,35.90,36.74,35.36,36.08,3962700,0
20010402,37.00,37.44,36.05,36.30,4239300,0
20010403,36.50,36.50,34.46,35.08,4553500,0
20010404,35.00,35.20,34.05,34.31,4843600,0
20010405,35.10,36.10,34.72,35.85,4062800,0
20010406,36.50,36.50,34.90,35.60,3523600,0
20010409,36.30,36.30,34.91,35.05,2408600,0
20010410,35.65,36.40,35.36,35.85,3792600,0
20010411,36.25,36.40,34.56,35.70,4068300,0
20010412,34.90,35.99,33.50,35.85,6505100,0
20010416,35.85,36.80,35.26,35.75,2025900,0
20010417,35.70,35.98,35.00,35.35,2851700,0
20010418,36.00,39.00,35.61,38.25,6262000,0
20010419,38.00,38.20,37.30,37.48,3047800,0
20010420,37.25,37.63,37.00,37.50,2646100,0
20010423,37.70,37.84,36.65,36.74,2980600,0
20010424,36.00,36.15,35.10,35.98,4154200,0
20010425,36.45,36.53,35.90,36.27,2847900,0
20010426,36.75,37.65,36.40,37.55,2998500,0
20010427,37.85,39.35,37.65,39.16,4020700,0
20010430,39.45,40.00,38.40,38.45,5183100,0
20010501,38.46,39.15,38.26,39.09,4268800,0
