DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,46.2200,48.3800,45.6000,45.9100,8293000,0
20010103,44.1100,50.1200,42.1900,49.8100,15317700,0
20010104,49.7500,54.2100,48.5100,51.6100,19354800,0
20010105,51.6100,51.6100,46.2800,46.9000,12625400,0
20010108,46.9000,46.9000,44.5400,46.5900,10807800,0
20010109,44.6100,44.9800,43.3000,44.3600,15945000,0
20010110,43.6800,46.3400,43.2400,46.0300,10323900,0
20010111,44.9800,49.1900,44.7300,49.1900,11842400,0
20010112,48.5700,48.6900,46.6500,47.4500,10038500,0
20010115,47.4500,47.4500,47.4500,47.4500,0,0
20010116,47.5800,47.5800,45.7200,47.2700,7543300,0
20010117,49.3100,51.4200,48.4500,50.1200,15461900,0
20010118,49.3100,51.2300,47.9500,50.8000,11893300,0
20010119,51.4800,52.0400,49.3100,49.8700,13487900,0
20010122,48.9400,49.3800,46.5900,48.1400,9522400,0
20010123,44.9800,45.6000,43.6100,44.6100,30667100,0
20010124,44.9100,45.3500,42.6200,43.1200,16363200,0
20010125,42.7500,43.1200,41.6900,41.6900,10686000,0
20010126,40.8900,41.3800,40.2700,41.1400,12559800,0
20010129,41.1600,43.6900,39.6900,43.5900,14015600,0
20010130,42.8400,44.9300,42.8400,44.3600,10951500,0
20010131,43.8400,45.5900,43.4400,43.4400,10300900,0
20010201,43.6400,44.5800,42.2800,43.3500,7234300,0
20010202,44.0800,44.6200,42.7000,42.7200,7070500,0
20010205,41.6700,42.5300,39.7200,40.6700,10462800,0
20010206,41.1500,42.0000,40.6600,40.6700,7402900,0
20010207,40.4100,41.6200,38.2800,38.6800,15091600,0
20010208,39.4700,40.5100,38.4300,38.4300,12950200,0
20010209,38.4300,38.4400,36.6900,37.0200,14012800,0
20010212,36.8900,38.2900,35.7000,37.3900,11882200,0
20010213,37.4000,38.1800,37.0200,37.1000,8611600,0
20010214,37.1000,39.4200,36.6000,38.4300,10810900,0
20010215,39.8200,41.4100,39.4300,40.3200,12504900,0
20010216,37.4900,38.1800,35.9600,36.3000,15726800,0
20010219,36.3000,36.3000,36.3000,36.3000,0,0
20010220,36.6900,36.7100,33.8200,34.2200,12912600,0
20010221,33.2200,34.9100,33.1600,33.9700,14892400,0
20010222,34.1700,34.1900,31.2400,32.4300,21758800,0
20010223,31.7400,31.7400,28.0200,29.9000,22125500,0
20010226,30.1500,30.4500,28.7600,28.9100,13686700,0
