DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.69,12.84,12.63,12.66,0,0
20010103,12.70,12.75,12.36,12.67,47768,0
20010104,12.72,13.20,12.72,12.86,189972,0
20010105,13.09,13.09,12.66,12.88,42064,0
20010108,13.09,13.38,12.98,13.27,54152,0
20010109,13.25,13.42,13.16,13.36,82684,0
20010110,13.33,13.36,13.11,13.11,196840,0
20010111,13.05,13.33,13.05,13.30,31168,0
20010112,13.05,13.06,12.84,12.94,62448,0
20010115,12.94,12.94,12.94,12.94,0,0
20010116,12.91,13.19,12.89,13.06,269748,0
20010117,13.06,13.22,13.00,13.16,43456,0
20010118,13.13,13.22,13.09,13.14,37656,0
20010119,13.09,13.11,12.92,12.97,41488,0
20010122,12.97,12.97,12.97,12.97,0,0
20010123,13.16,13.31,12.75,12.77,69484,0
20010124,12.75,12.75,12.25,12.47,63136,0
20010125,12.27,12.67,12.27,12.50,43756,0
20010126,12.53,12.53,12.20,12.28,30016,0
20010129,13.04,13.27,12.50,12.69,8917600,0
20010130,12.73,13.45,12.66,13.37,54201200,0
20010131,12.95,13.32,12.95,13.24,3763600,0
20010201,13.25,13.46,13.15,13.32,46595200,0
20010202,13.35,13.46,13.14,13.24,2673600,0
20010205,13.18,13.27,12.95,13.11,6094800,0
20010206,13.11,13.25,13.06,13.23,1575600,0
20010207,13.20,13.21,13.03,13.19,19562000,0
20010208,13.19,13.28,13.13,13.26,0,0
20010209,13.43,13.50,13.38,13.48,3782400,0
20010212,13.39,13.56,13.35,13.49,8436000,0
20010213,13.50,13.70,13.48,13.67,2790000,0
20010214,13.67,13.67,13.20,13.21,4177600,0
20010215,13.24,13.53,13.24,13.46,3626400,0
20010216,13.45,13.45,13.24,13.32,2786000,0
20010219,13.32,13.32,13.32,13.32,0,0
20010220,13.38,13.65,13.38,13.43,2226800,0
20010221,13.43,13.57,13.21,13.23,2175600,0
20010222,13.23,13.47,13.10,13.44,3500000,0
20010223,13.50,13.69,13.34,13.59,3419200,0
20010226,13.71,13.90,13.58,13.81,4234800,0
20010227,13.80,13.95,13.79,13.93,5601600,0
20010228,13.93,14.00,13.73,13.73,23396000,0
20010301,13.74,13.74,13.51,13.57,11064400,0
20010302,13.55,13.78,13.55,13.76,3035600,0
20010305,13.77,13.93,13.65,13.88,1991200,0
20010306,13.82,13.85,13.68,13.75,14005200,0
20010307,13.73,13.92,13.68,13.71,2428400,0
20010308,13.71,14.19,13.71,14.15,4358400,0
20010309,14.09,14.27,13.91,14.21,17668400,0
20010312,14.15,14.23,14.03,14.04,2820400,0
20010313,14.00,14.00,13.60,13.74,4871200,0
