DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,58.00,58.38,55.88,56.25,6958,0
20010103,56.19,60.56,55.69,60.56,24468,0
20010104,60.00,62.50,60.00,61.06,37642,0
20010105,61.00,61.00,59.63,60.63,23312,0
20010108,60.56,61.13,60.00,61.06,7050,0
20010109,60.88,61.13,60.50,61.00,13722,0
20010110,60.00,60.50,58.00,58.50,29863,0
20010111,58.25,59.38,58.13,59.25,15474,0
20010112,59.13,59.69,58.81,58.94,24801,0
20010115,58.94,58.94,58.94,58.94,0,0
20010116,58.88,59.44,58.38,59.44,9614,0
20010117,59.38,59.38,58.75,59.38,5115,0
20010118,59.63,60.38,59.56,60.25,12028,0
20010119,60.25,60.44,59.81,60.00,8575,0
20010122,60.00,60.00,60.00,60.00,0,0
20010123,60.19,61.00,60.06,60.88,20468,0
20010124,60.94,60.94,59.81,60.25,9390,0
20010125,60.25,60.81,59.88,60.38,13954,0
20010126,60.25,60.50,60.06,60.38,6090,0
20010129,62.19,63.09,61.00,62.28,846000,0
20010130,61.16,63.16,61.03,62.72,2147600,0
20010131,61.64,62.00,60.71,61.90,2714200,0
20010201,61.90,61.90,61.45,61.53,9552000,0
20010202,61.50,61.68,61.01,61.10,960100,0
20010205,60.90,61.00,60.05,60.24,941400,0
20010206,60.01,60.10,59.52,59.61,635100,0
20010207,59.01,59.90,59.01,59.60,710900,0
20010208,59.05,60.24,59.05,59.96,1799900,0
20010209,59.75,60.19,59.70,59.82,1953600,0
20010212,59.65,60.50,59.55,60.20,1360900,0
20010213,60.00,60.35,59.94,60.03,1036500,0
20010214,60.00,60.15,59.77,60.00,772200,0
20010215,60.02,60.51,60.00,60.14,775500,0
20010216,59.36,60.40,59.36,60.03,3511200,0
20010219,60.03,60.03,60.03,60.03,0,0
20010220,60.03,60.61,59.98,60.10,7384700,0
20010221,59.80,59.82,58.81,58.90,655600,0
20010222,58.40,58.85,58.00,58.29,1770100,0
20010223,57.81,58.26,57.25,57.60,908800,0
20010226,57.65,57.86,57.06,57.65,628200,0
20010227,57.25,58.40,57.25,58.10,830800,0
20010228,58.06,58.24,56.50,56.53,849200,0
20010301,56.51,57.60,55.69,56.00,999800,0
20010302,56.00,56.96,55.71,56.94,1625500,0
20010305,56.50,57.76,56.50,57.56,523900,0
20010306,57.99,57.99,57.17,57.37,12534700,0
20010307,57.59,58.38,57.17,58.35,1049500,0
20010308,58.98,59.70,58.51,59.26,1049500,0
20010309,59.00,59.00,58.65,58.83,861200,0
20010312,58.80,58.80,57.36,57.36,796600,0
20010313,57.00,57.46,56.51,57.40,1037700,0
20010314,57.00,57.25,56.57,56.76,2947400,0
20010315,56.77,57.04,56.36,56.65,871100,0
20010316,56.55,56.64,55.74,55.75,3772900,0
20010319,55.90,56.40,55.25,56.01,11917000,0
20010320,56.01,56.24,55.50,55.52,933600,0
20010321,55.52,58.36,55.19,57.70,1737200,0
20010322,54.60,56.35,54.60,55.89,2616000,0
20010323,55.76,56.00,54.57,55.20,1145200,0
20010326,55.25,56.40,55.25,55.88,530700,0
20010327,56.21,56.53,56.01,56.44,2508100,0
