DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,23.44,23.44,22.31,23.06,2331000,0
20010103,23.00,24.69,22.81,24.69,5205600,0
20010104,24.50,26.06,24.50,25.63,10401200,0
20010105,25.19,25.19,24.13,24.56,4846100,0
20010108,24.50,24.63,23.56,24.06,3507500,0
20010109,23.94,24.38,23.75,24.06,2565800,0
20010110,23.69,24.13,23.56,24.13,3496700,0
20010111,24.44,24.50,23.63,24.06,3402500,0
20010112,24.06,24.06,22.75,23.06,2503700,0
20010115,23.06,23.06,23.06,23.06,0,0
20010116,23.13,24.06,22.19,22.94,6157100,0
20010117,22.94,22.94,22.06,22.19,6480900,0
20010118,22.63,22.63,21.56,21.88,3229900,0
20010119,21.88,21.88,20.75,21.19,4870600,0
20010122,21.44,22.13,21.06,22.13,3533800,0
20010123,22.44,23.06,22.25,23.00,3299600,0
20010124,22.63,23.19,22.31,23.00,2450600,0
20010125,23.19,23.38,22.69,23.06,2164900,0
20010126,23.25,23.63,23.00,23.63,2636400,0
20010129,23.62,23.99,23.35,23.66,3892600,0
20010130,23.41,23.78,22.82,23.78,3382600,0
20010131,23.68,23.74,22.98,23.60,3836100,0
20010201,23.35,23.60,23.11,23.27,2590000,0
20010202,23.30,23.69,23.16,23.56,2777100,0
20010205,23.40,24.01,23.21,24.01,2902800,0
20010206,24.01,24.01,23.40,23.74,2918700,0
20010207,23.64,24.00,23.60,23.76,2816500,0
20010208,23.65,23.85,23.61,23.80,2300900,0
20010209,23.72,24.00,23.60,23.86,2221500,0
20010212,23.87,24.38,23.74,24.25,3117100,0
20010213,24.25,24.25,24.03,24.08,2237200,0
20010214,24.02,24.07,23.30,23.33,2282200,0
20010215,23.35,23.50,23.01,23.30,1634200,0
20010216,23.49,23.69,23.17,23.40,2935800,0
20010219,23.40,23.40,23.40,23.40,0,0
20010220,23.42,23.50,22.89,23.01,1870200,0
20010221,23.01,23.23,22.69,22.72,2610600,0
20010222,22.72,22.72,21.76,22.48,2983200,0
20010223,22.02,23.40,21.93,22.70,4052000,0
20010226,22.80,23.58,22.30,23.34,7162400,0
20010227,23.34,23.69,22.91,23.45,3926200,0
20010228,23.59,23.64,22.80,23.20,4068600,0
20010301,24.00,24.00,22.62,23.25,5367700,0
