DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,38.88,38.88,37.28,37.34,33264,0
20010103,37.38,38.13,36.59,37.56,124706,0
20010104,38.06,38.13,36.34,36.78,48274,0
20010105,37.00,37.00,35.53,35.56,40960,0
20010108,35.69,36.72,35.59,36.19,37786,0
20010109,36.78,36.81,35.13,35.31,76054,0
20010110,35.13,36.34,34.56,36.13,38016,0
20010111,36.53,37.03,36.41,36.94,36336,0
20010112,36.59,36.59,34.75,35.34,46896,0
20010115,35.34,35.34,35.34,35.34,0,0
20010116,35.50,36.00,34.66,35.47,46268,0
20010117,36.19,36.69,35.84,36.03,47004,0
20010118,36.06,36.84,36.06,36.53,110072,0
20010119,36.00,36.25,35.09,35.53,49916,0
20010122,35.53,35.53,35.53,35.53,0,0
20010123,35.56,40.00,35.53,36.38,57414,0
20010124,36.50,36.78,36.16,36.50,30912,0
20010125,37.09,38.19,36.91,37.78,44040,0
20010126,37.81,37.81,36.50,36.59,44270,0
20010129,37.27,38.55,37.00,37.44,6055600,0
20010130,37.39,38.25,37.00,37.66,2942800,0
20010131,37.47,37.55,36.94,37.44,4207400,0
20010201,37.49,37.49,36.52,37.08,2666600,0
20010202,37.20,37.50,36.74,36.98,2918800,0
20010205,37.13,37.48,36.89,37.10,3031600,0
20010206,36.97,38.38,36.85,37.18,3806600,0
20010207,37.18,37.80,36.94,37.13,3237400,0
20010208,37.17,37.79,36.94,37.51,1943600,0
20010209,38.00,38.07,37.29,37.44,3172400,0
20010212,37.88,37.90,37.43,37.50,2596200,0
20010213,37.53,39.03,37.50,38.70,5008800,0
20010214,38.63,39.15,38.29,38.50,5560400,0
20010215,39.03,39.88,38.93,39.50,4366000,0
20010216,39.50,39.75,38.92,39.13,3459800,0
20010219,39.13,39.13,39.13,39.13,0,0
20010220,39.50,39.76,39.38,39.38,4292600,0
20010221,39.25,40.20,38.93,39.56,3617400,0
20010222,39.56,39.69,38.75,39.22,5637400,0
20010223,38.85,38.90,38.10,38.63,5760400,0
20010226,38.20,39.25,38.06,39.22,5026200,0
20010227,39.25,40.00,38.85,39.83,46896000,0
20010228,39.88,39.92,38.30,38.96,4918200,0
20010301,38.80,39.38,38.34,39.01,34665200,0
20010302,38.88,39.46,38.50,39.03,3644600,0
20010305,39.50,40.55,39.40,40.05,5644400,0
20010306,40.45,40.95,40.09,40.19,28808200,0
20010307,40.19,41.20,40.01,40.85,3746600,0
20010308,40.97,41.24,40.51,41.01,4532600,0
20010309,41.04,41.06,40.60,40.85,2605000,0
20010312,40.60,40.60,39.13,39.20,3930800,0
20010313,39.30,39.63,38.72,39.63,4976600,0
20010314,38.53,38.80,36.76,37.49,30274600,0
20010315,38.50,38.53,37.28,37.88,39852400,0
20010316,38.00,38.12,35.63,35.72,8507000,0
20010319,35.80,36.55,35.63,36.53,5186800,0
20010320,36.78,37.22,35.83,35.92,26194600,0
20010321,35.85,35.85,34.88,34.88,3829400,0
20010322,34.70,34.75,32.45,33.67,9144000,0
20010323,33.67,34.20,32.72,33.50,7569600,0
20010326,34.00,35.94,33.80,35.80,6390200,0
20010327,35.88,37.50,35.50,37.23,24835600,0
20010328,36.92,37.10,36.10,36.60,5982800,0
20010329,36.60,37.63,36.22,37.28,8624600,0
20010330,37.37,37.47,36.38,36.65,4277200,0
20010402,36.72,37.42,36.17,36.70,27223800,0
20010403,36.30,36.56,35.19,35.42,5855200,0
20010404,35.30,36.37,35.00,35.70,7061800,0
20010405,36.30,37.70,36.30,37.58,3603600,0
20010406,36.99,37.50,36.60,36.89,3218400,0
20010409,37.00,37.93,37.00,37.46,2740200,0
20010410,36.51,37.60,36.12,37.30,5691000,0
20010411,37.13,37.22,36.17,36.47,4511400,0
20010412,36.95,37.69,36.63,37.69,2896800,0
20010416,37.67,38.33,37.30,37.65,2622000,0
20010417,37.53,38.00,37.17,37.80,2275400,0
20010418,38.30,39.92,38.15,39.03,4421400,0
20010419,38.93,38.93,38.15,38.65,22004600,0
20010420,38.05,38.60,38.05,38.37,3202400,0
20010423,38.75,38.75,38.14,38.33,2067200,0
20010424,38.28,38.92,38.25,38.25,7006200,0
20010425,38.38,38.47,37.50,38.22,2508200,0
20010426,38.50,38.95,38.13,38.50,2599200,0
20010427,38.67,39.42,38.48,39.25,2875800,0
20010430,39.38,39.85,38.96,39.05,2352000,0
20010501,39.00,39.38,38.75,39.22,2990800,0
20010502,39.95,39.95,38.72,39.07,3732600,0
20010503,39.45,39.45,38.75,39.15,2675400,0
20010504,38.65,39.60,38.58,39.48,2197800,0
20010507,38.95,39.49,38.95,39.20,1848200,0
20010508,39.32,39.44,38.24,38.56,2699400,0
20010509,38.80,38.80,38.25,38.38,2018000,0
20010510,38.75,39.67,38.69,39.37,2830000,0
20010511,39.50,40.00,39.17,39.55,30000000,0
20010514,39.95,39.95,39.22,39.42,2156600,0
20010515,39.85,39.99,39.15,39.70,2863200,0
20010516,39.63,41.45,39.51,41.45,4590000,0
20010517,41.33,42.67,41.28,42.33,6738800,0
20010518,42.33,43.70,42.20,43.60,8224600,0
20010521,43.25,43.48,42.88,43.15,4459600,0
20010522,42.90,43.17,42.03,42.41,4678200,0
20010523,42.47,42.51,41.88,42.28,2884400,0
20010524,42.63,42.84,41.92,42.12,2921000,0
20010525,42.12,42.13,41.00,41.63,4836800,0
