DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20080319,14.88,15.14,13.75,14.13,708485888,0
20080320,14.60,16.25,14.38,16.09,198984944,0
20080324,16.81,16.92,14.75,14.93,149694984,0
20080325,15.14,16.06,14.95,15.81,87165192,0
20080326,15.68,16.12,15.39,15.99,43139416,0
20080327,16.01,16.18,15.66,15.73,39835044,0
20080328,15.84,15.86,15.54,15.69,24698316,0
20080331,15.65,15.87,15.51,15.59,22170648,0
20080401,15.76,15.92,15.08,15.40,60431880,0
20080402,15.43,15.58,15.13,15.58,43846560,0
20080403,15.49,16.57,15.45,16.38,100867628,0
20080404,16.23,16.33,15.94,16.12,36396044,0
20080407,16.27,16.45,16.00,16.26,28313468,0
20080408,16.23,17.06,16.20,17.02,53963828,0
20080409,17.11,17.18,16.40,16.45,48339776,0
20080410,16.54,16.68,16.28,16.53,22385132,0
20080411,16.31,16.69,16.31,16.53,26434408,0
20080414,16.67,16.81,16.38,16.42,28446192,0
20080415,16.57,16.64,16.00,16.09,23903372,0
20080416,16.14,16.74,16.14,16.53,25148748,0
20080417,16.57,16.94,16.50,16.76,22462216,0
20080418,17.00,17.61,16.80,17.25,104122972,0
20080421,17.37,18.13,17.21,17.74,58885204,0
20080422,17.98,18.10,17.50,17.57,47378240,0
20080423,17.74,17.92,17.42,17.52,37336612,0
20080424,17.80,18.25,17.51,18.07,39082416,0
20080425,19.00,19.02,18.48,18.77,101459948,0
20080428,19.13,19.32,18.73,18.91,132517288,0
20080429,18.54,20.22,17.75,20.22,197308132,0
20080430,20.35,21.20,20.27,20.86,147543256,0
20080501,21.10,21.91,20.98,21.35,116395340,0
20080502,21.82,21.88,20.25,20.69,136648496,0
20080505,20.71,21.38,20.20,21.26,70376936,0
20080506,21.37,22.04,21.19,21.88,75912944,0
20080507,22.21,22.46,21.91,22.13,100464496,0
20080508,22.38,22.44,21.48,21.75,92866696,0
20080509,21.45,21.67,20.63,20.72,94311788,0
20080512,20.91,21.12,19.52,20.48,147550908,0
20080513,20.46,20.88,20.20,20.59,53271328,0
20080514,20.82,21.09,20.36,20.56,51400308,0
20080515,20.63,20.73,20.28,20.56,36728236,0
