DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,45.49,46.29,44.74,46.06,4715100,0
20010103,46.52,50.19,46.29,48.70,8174200,0
20010104,50.24,50.87,49.61,50.13,6213600,0
20010105,50.76,50.87,49.67,50.01,4768600,0
20010108,50.20,50.37,48.99,50.08,4201900,0
20010109,49.16,52.45,49.16,51.24,5178800,0
20010110,51.01,52.74,50.72,51.87,4053100,0
20010111,51.87,52.45,51.35,51.47,3865400,0
20010112,51.47,51.70,50.08,51.24,5263200,0
20010115,51.24,51.24,51.24,51.24,0,0
20010116,51.12,51.18,49.16,50.20,4636500,0
20010117,50.20,50.54,49.39,49.79,5588500,0
20010118,49.79,52.51,49.79,51.47,5141400,0
20010119,51.47,51.81,50.54,51.12,4243200,0
20010122,51.18,51.18,48.47,49.79,4313100,0
20010123,50.02,50.02,48.52,49.68,4445600,0
20010124,50.20,50.20,47.08,47.89,6525500,0
20010125,47.25,47.66,45.93,47.25,4679200,0
20010126,48.00,48.41,46.10,47.89,4433800,0
20010129,47.89,49.84,47.64,49.19,4329000,0
20010130,48.96,49.83,48.32,49.75,3798700,0
20010131,49.53,50.73,49.15,50.73,4710000,0
20010201,50.50,50.77,49.48,50.77,5309100,0
20010202,49.02,49.21,47.36,48.00,9115200,0
20010205,48.00,48.51,47.55,48.47,5527800,0
20010206,48.88,50.22,48.70,50.22,3757500,0
20010207,49.67,49.69,48.87,48.88,3784000,0
20010208,49.16,49.16,48.56,49.07,4384400,0
20010209,49.30,49.84,48.00,48.46,3778800,0
20010212,48.46,49.81,48.40,49.34,4003800,0
20010213,49.25,50.11,48.70,50.04,3555700,0
20010214,49.62,49.67,48.15,48.19,3933800,0
20010215,48.33,49.57,47.36,48.11,4806200,0
20010216,47.88,48.69,47.54,48.48,4213900,0
20010219,48.48,48.48,48.48,48.48,0,0
20010220,48.00,48.52,46.63,47.50,4600500,0
20010221,47.08,47.22,44.64,45.24,5680900,0
20010222,45.33,46.18,44.50,45.24,5854300,0
20010223,44.36,45.58,43.28,45.35,6193800,0
20010226,46.25,47.17,45.12,47.04,4238000,0
20010227,47.31,47.50,46.39,46.94,3081600,0
20010228,47.40,47.40,45.24,45.70,4456300,0
20010301,45.51,45.56,43.99,44.72,3688100,0
20010302,43.90,46.11,43.06,45.71,4667400,0
20010305,45.51,45.51,44.24,44.43,4080300,0
20010306,46.07,46.07,44.30,44.42,4238000,0
20010307,44.82,44.82,43.87,44.09,3748600,0
20010308,44.68,45.60,44.53,45.47,3360000,0
20010309,44.96,44.98,43.94,44.07,3474600,0
20010312,43.76,45.23,43.62,43.81,3536200,0
20010313,44.04,45.70,43.57,45.40,4338900,0
20010314,44.31,44.68,42.33,43.30,5026400,0
20010315,43.39,44.36,42.65,44.36,4458700,0
20010316,43.07,44.54,43.07,43.69,8650300,0
20010319,43.30,45.24,43.07,45.12,4304700,0
20010320,44.31,44.36,43.40,43.43,4094500,0
20010321,42.93,43.62,42.33,42.57,5147500,0
20010322,42.10,42.65,40.95,42.47,5923900,0
20010323,41.08,43.34,40.43,43.34,5382400,0
20010326,43.48,44.31,42.97,44.31,4994600,0
20010327,44.08,46.62,43.62,46.26,5315100,0
20010328,45.42,45.97,42.06,43.56,6105100,0
20010329,42.93,45.00,42.93,44.50,4961900,0
20010330,45.24,45.70,43.94,45.51,4795700,0
20010402,45.93,46.25,44.42,44.91,5115200,0
20010403,44.91,45.14,43.85,43.94,5559500,0
20010404,44.54,45.70,43.84,45.14,6856000,0
20010405,44.31,45.70,43.39,45.70,8205700,0
20010406,45.50,46.18,43.97,46.01,6731800,0
20010409,45.50,46.85,45.43,46.75,5550900,0
20010410,46.99,47.92,46.93,47.49,7057500,0
20010411,47.22,47.47,46.57,46.94,6763800,0
20010412,46.75,48.52,46.33,48.46,5383400,0
20010416,48.46,49.26,47.31,48.38,3688200,0
20010417,47.92,49.30,47.73,49.22,5011700,0
20010418,49.31,50.10,48.29,49.55,6938000,0
20010419,50.01,50.15,48.39,49.78,4286300,0
20010420,49.36,49.78,49.20,49.37,6341900,0
20010423,48.80,49.36,47.22,49.23,5413700,0
20010424,49.23,50.15,49.09,49.13,3999300,0
20010425,50.47,51.44,50.26,51.34,7758400,0
20010426,52.06,52.66,51.57,51.63,7279400,0
20010427,51.64,51.87,50.94,51.82,4582900,0
20010430,51.96,52.54,50.80,51.24,5313700,0
20010501,51.08,52.86,50.74,52.74,5098800,0
20010502,52.74,53.02,52.24,52.94,4587800,0
20010503,52.71,52.71,51.16,51.92,4233900,0
20010504,51.50,52.57,50.98,51.92,5306800,0
20010507,51.96,52.94,51.50,52.88,4389600,0
20010508,52.99,53.01,51.70,51.73,4722800,0
20010509,51.73,51.73,48.94,50.07,25651100,0
20010510,50.38,50.43,49.45,49.69,8081700,0
20010511,49.78,49.97,49.17,49.58,5224900,0
20010514,49.82,50.14,49.62,50.11,4689800,0
20010515,50.15,50.65,49.92,50.24,5525900,0
20010516,49.82,51.43,49.82,51.08,6070000,0
20010517,51.17,51.20,49.96,49.99,5329900,0
20010518,50.20,50.52,49.99,50.39,3098200,0
20010521,50.94,51.03,50.04,50.87,4419200,0
20010522,50.85,50.85,50.31,50.64,3056800,0
20010523,50.43,50.94,49.54,49.96,4358500,0
20010524,50.24,50.56,49.63,50.17,5709000,0
20010525,50.47,50.60,50.21,50.21,4664800,0
20010528,50.21,50.21,50.21,50.21,0,0
20010529,50.47,51.13,50.12,50.74,4123600,0
20010530,50.24,50.57,49.92,50.24,3397200,0
20010531,50.24,51.06,50.02,51.03,4589000,0
20010601,50.99,51.40,50.07,50.93,4079700,0
20010604,51.50,51.91,50.94,51.54,4575300,0
20010605,51.13,51.64,51.08,51.64,4052700,0
20010606,51.82,51.82,50.36,50.64,4626000,0
20010607,50.06,50.47,49.54,49.59,6025100,0
20010608,49.60,50.01,48.85,49.78,3135900,0
20010611,49.59,50.24,49.43,50.07,3112700,0
20010612,49.68,50.73,49.53,50.57,3645100,0
20010613,50.57,50.75,49.78,49.87,2531300,0
20010614,50.20,50.32,49.55,49.64,3585300,0
20010615,49.13,49.64,48.66,48.80,7064200,0
20010618,49.22,49.22,48.46,48.56,3000000,0
20010619,48.85,49.31,48.10,48.47,3928100,0
20010620,48.15,49.17,48.15,49.07,4790800,0
20010621,48.43,49.53,48.04,49.50,4891300,0
20010622,49.17,49.49,48.80,48.89,4404000,0
20010625,49.08,49.13,48.16,48.20,3676800,0
20010626,47.54,49.65,47.54,49.31,4928900,0
20010627,49.22,49.31,48.40,48.66,3539200,0
20010628,49.22,50.20,49.16,49.88,4998700,0
20010629,49.68,50.90,49.34,49.78,8422900,0
20010702,49.78,50.60,49.67,50.59,4013000,0
20010703,50.68,51.17,50.31,51.15,2488500,0
20010704,51.15,51.15,51.15,51.15,0,0
20010705,51.03,51.12,50.24,50.24,4281300,0
20010706,50.51,50.88,49.92,49.92,4185700,0
20010709,49.76,51.13,49.74,50.60,3529700,0
20010710,51.07,51.76,50.87,51.73,5889600,0
20010711,51.07,53.27,51.07,52.33,8198200,0
20010712,52.34,52.44,51.79,51.96,4580700,0
20010713,51.97,52.24,51.59,51.77,3660100,0
20010716,52.20,52.83,51.93,52.38,3757100,0
20010717,52.76,53.51,52.57,52.92,8368500,0
20010718,52.71,53.29,52.10,52.67,4242700,0
20010719,53.23,53.79,52.92,53.56,5722000,0
20010720,52.95,53.31,52.35,52.60,4951100,0
20010723,52.48,52.50,51.45,51.54,4012100,0
20010724,50.84,51.38,50.33,50.66,3900800,0
20010725,51.02,52.48,50.88,52.32,3948600,0
20010726,51.54,52.76,51.54,52.67,4504600,0
20010727,52.38,52.81,52.05,52.60,4438900,0
20010730,52.52,52.99,52.22,52.50,3437700,0
20010731,50.60,51.73,50.60,50.74,10478900,0
20010801,51.07,52.47,50.79,52.23,5981100,0
20010802,52.01,52.23,50.83,51.07,4778500,0
20010803,51.02,51.07,49.67,50.30,4321100,0
20010806,50.13,50.58,49.67,49.92,4156100,0
20010807,50.13,50.48,49.77,50.20,3111100,0
20010808,50.18,50.44,49.51,49.71,3314000,0
20010809,49.53,49.67,48.96,49.43,4227800,0
20010810,49.43,50.65,49.02,50.54,4001600,0
20010813,50.04,50.31,49.90,50.27,2822800,0
20010814,50.04,50.35,49.85,50.30,2863100,0
20010815,50.42,50.63,49.43,49.57,3836800,0
20010816,49.34,49.99,49.24,49.95,2379700,0
20010817,49.63,49.76,48.68,49.20,4072000,0
20010820,48.96,49.95,48.96,49.95,3211300,0
20010821,50.18,50.25,49.48,49.95,3412600,0
20010822,49.85,49.95,49.03,49.23,4336600,0
20010823,49.14,49.47,48.54,48.73,4214800,0
