DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,40.50,40.88,39.50,40.81,27902,0
20010103,40.81,40.81,38.25,39.25,252664,0
20010104,38.00,38.69,35.38,37.31,84647,0
20010105,37.31,38.13,36.63,38.00,24290,0
20010108,38.31,38.94,37.25,38.31,30815,0
20010109,38.13,38.50,37.31,37.75,22143,0
20010110,37.94,39.00,37.25,38.81,22867,0
20010111,39.19,39.19,36.56,37.25,34146,0
20010112,37.50,38.50,37.38,37.94,24987,0
20010116,38.50,39.00,38.25,38.63,19533,0
20010117,38.56,38.94,38.25,38.81,19650,0
20010118,38.13,38.75,38.00,38.31,24450,0
20010119,37.38,37.63,36.50,36.88,43913,0
20010123,37.13,38.50,37.00,38.13,28272,0
20010124,37.63,38.69,37.63,38.56,21551,0
20010125,38.56,39.75,38.38,39.56,19875,0
20010126,39.69,39.88,39.06,39.31,59435,0
20010129,41.19,41.63,39.00,40.13,1067100,0
20010130,40.59,42.09,40.00,40.03,11640600,0
20010131,40.00,40.89,39.93,40.76,2478100,0
20010201,41.12,41.99,40.73,41.95,2463800,0
20010202,42.99,42.99,41.80,42.18,26500000,0
20010205,42.18,42.32,40.92,41.11,1977500,0
20010206,41.75,41.78,40.51,41.08,1956000,0
20010207,41.33,42.88,41.17,42.85,1896600,0
20010208,42.75,42.76,41.72,41.85,2067600,0
20010209,41.85,42.30,41.29,41.41,1715200,0
20010212,41.45,41.60,40.82,41.47,1386300,0
20010213,40.90,42.00,40.65,42.00,1734200,0
20010214,41.60,42.44,41.44,42.24,1651100,0
20010215,41.93,42.60,41.92,42.60,1495200,0
20010216,42.79,44.00,42.79,43.69,2982500,0
20010220,43.02,44.50,43.02,43.95,3266500,0
20010221,43.45,44.23,42.82,42.82,3477600,0
20010222,42.83,43.34,42.20,42.85,2917500,0
20010223,42.60,43.21,42.52,42.80,10138200,0
20010226,42.90,44.18,42.62,44.02,2151500,0
20010227,43.85,44.35,43.52,44.20,2547700,0
20010228,44.46,44.99,43.50,44.32,3596200,0
20010301,43.75,44.73,43.11,43.37,2154100,0
20010302,43.25,44.50,43.06,44.33,1989000,0
20010305,44.58,44.58,43.58,43.64,7695800,0
20010306,43.50,43.89,43.25,43.84,3881900,0
20010307,43.86,44.74,43.80,44.74,27200000,0
20010308,44.80,45.29,44.70,45.27,3792000,0
20010309,45.05,45.06,44.23,44.56,2059800,0
20010312,44.55,44.78,44.07,44.21,1985100,0
20010313,44.21,44.21,42.00,42.89,3660200,0
20010314,41.25,43.25,41.21,42.22,2463000,0
20010315,42.25,42.25,41.00,42.01,2909400,0
20010316,41.76,42.15,41.27,41.54,3634200,0
20010319,41.54,41.70,40.67,41.61,2307200,0
20010320,40.80,42.05,40.80,41.00,2370800,0
20010321,40.52,40.90,40.28,40.50,8481500,0
20010322,40.35,40.35,38.56,39.63,4242300,0
20010323,39.52,40.86,37.79,40.78,3328400,0
20010326,40.50,40.56,38.56,39.11,7588500,0
20010327,39.74,40.29,39.56,40.26,3426200,0
20010328,39.75,40.50,39.70,40.23,9428100,0
20010329,40.25,40.65,39.34,40.30,2209800,0
20010330,40.70,40.99,40.25,40.80,2307900,0
20010402,40.71,40.84,40.25,40.68,2105800,0
20010403,40.34,40.49,39.72,40.00,3778100,0
20010404,39.76,40.40,39.26,39.95,3139500,0
20010405,40.43,40.43,39.55,40.10,2370600,0
20010406,40.10,40.23,39.47,39.95,2642100,0
20010409,40.20,40.35,38.80,39.12,1653200,0
20010410,39.12,40.65,38.91,40.11,1864800,0
