DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,27.22,27.75,26.69,26.97,106164,0
20010103,26.44,27.00,25.00,26.53,362812,0
20010104,26.06,26.66,25.34,26.00,171202,0
20010105,25.66,26.31,25.00,26.19,141798,0
20010108,25.81,26.31,25.72,25.94,91206,0
20010109,25.78,26.16,24.63,24.72,113268,0
20010110,23.91,24.80,23.88,24.34,153228,0
20010111,24.75,25.25,24.44,24.63,526152,0
20010112,24.69,24.69,24.09,24.34,85150,0
20010115,24.34,24.34,24.34,24.34,0,0
20010116,24.38,25.09,23.88,24.97,149132,0
20010117,25.31,25.41,24.69,24.75,90208,0
20010118,24.88,24.88,24.13,24.22,74786,0
20010119,24.25,24.81,24.03,24.53,91316,0
20010122,24.53,24.53,24.53,24.53,0,0
20010123,24.81,25.22,24.66,24.81,83684,0
20010124,24.94,25.38,24.75,25.09,70892,0
20010125,25.22,25.44,24.84,25.31,1062000,0
20010126,25.53,25.91,25.28,25.75,89714,0
20010129,25.38,26.66,25.33,25.70,9956000,0
20010130,26.47,27.05,25.50,26.92,8500000,0
20010131,25.73,25.90,25.35,25.72,4833000,0
20010201,25.52,25.92,24.88,25.20,9260000,0
20010202,24.98,25.30,24.95,25.12,20113600,0
20010205,25.44,25.75,25.24,25.68,12588600,0
20010206,25.38,25.58,25.14,25.44,5187800,0
20010207,25.45,25.76,25.25,25.37,4982000,0
20010208,25.48,25.77,25.47,25.55,6276200,0
20010209,25.55,25.60,25.13,25.32,6213400,0
20010212,25.58,25.73,25.30,25.40,5964800,0
20010213,25.42,25.50,24.88,25.00,8238000,0
20010214,25.27,25.49,24.98,25.15,5504800,0
20010215,25.03,25.08,24.80,24.85,4326000,0
20010216,24.85,25.35,24.80,25.06,6400800,0
20010219,25.06,25.06,25.06,25.06,0,0
20010220,25.27,25.28,24.23,24.34,7119600,0
20010221,24.34,24.60,23.90,24.01,7550000,0
20010222,24.05,24.20,23.21,24.07,9592600,0
20010223,24.01,24.30,23.42,24.24,6658400,0
20010226,24.24,24.83,23.89,24.79,7664600,0
20010227,24.79,25.17,24.59,25.03,7163600,0
20010228,25.25,25.25,24.51,24.82,6810800,0
20010301,24.82,24.89,24.29,24.78,8912000,0
20010302,24.85,25.25,24.70,25.08,6772000,0
20010305,24.96,25.06,24.38,24.92,5492600,0
20010306,25.23,25.33,24.37,24.74,6714400,0
20010307,24.74,25.62,24.70,25.61,8070000,0
20010308,25.62,25.85,25.13,25.85,6432400,0
20010309,25.50,25.50,24.85,25.25,5259800,0
20010312,24.92,25.00,23.85,23.90,7620800,0
20010313,24.33,24.77,23.82,24.73,16988200,0
20010314,24.06,24.17,23.06,23.28,136600000,0
20010315,23.48,24.44,23.31,24.36,8718200,0
20010316,23.90,24.25,23.75,23.94,11686400,0
20010319,23.88,24.17,23.43,24.01,7833200,0
20010320,23.89,24.08,23.39,23.42,7454400,0
20010321,23.39,23.56,22.66,22.71,9525400,0
20010322,22.65,22.75,21.28,22.00,13710200,0
20010323,21.76,22.81,21.73,22.72,11101600,0
20010326,22.99,23.42,22.92,23.05,6288200,0
20010327,23.25,24.38,22.94,24.30,13513800,0
20010328,24.25,24.43,23.87,24.33,7169200,0
20010329,23.99,24.21,23.88,24.01,7684200,0
20010330,24.15,24.74,24.09,24.74,7709400,0
20010402,24.85,25.08,24.56,24.84,10090800,0
20010403,24.96,25.00,24.14,24.48,10446400,0
20010404,24.20,24.34,22.51,23.00,22779800,0
20010405,23.33,23.82,23.33,23.82,13269200,0
20010406,23.60,23.94,22.47,23.13,18921200,0
20010409,23.50,23.50,22.65,22.98,10553800,0
20010410,23.25,23.83,23.20,23.62,12192800,0
20010411,24.02,24.02,23.45,23.45,7594800,0
20010412,23.61,24.19,23.40,23.89,9682800,0
20010416,24.20,24.35,23.24,23.58,8265400,0
20010417,23.45,23.45,22.55,22.85,13213200,0
20010418,22.89,24.34,22.63,23.80,17945200,0
20010419,23.66,24.11,23.63,23.99,10757600,0
20010420,23.95,24.08,23.56,23.97,7675400,0
20010423,23.97,23.97,23.48,23.77,5366400,0
20010424,23.91,24.16,23.58,23.95,6904600,0
20010425,23.72,23.75,23.35,23.52,6417000,0
20010426,23.50,23.63,22.98,23.07,10645600,0
20010427,23.45,23.92,23.36,23.91,10351200,0
20010430,23.99,24.08,23.38,23.49,9022200,0
20010501,23.50,23.67,23.28,23.67,5324400,0
20010502,23.32,23.97,23.30,23.76,7360200,0
20010503,23.58,23.81,23.40,23.73,6931600,0
