DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,53.13,55.06,52.69,53.88,161765,0
20010103,53.50,58.75,53.00,58.44,199133,0
20010104,57.00,58.19,55.88,56.13,137357,0
20010105,57.13,57.13,53.25,53.94,108126,0
20010108,53.00,54.81,50.00,53.94,81708,0
20010109,53.50,54.75,52.50,52.75,70396,0
20010110,50.94,52.00,50.50,51.69,99764,0
20010111,51.94,53.00,50.31,51.94,66785,0
20010112,51.88,53.75,51.63,52.94,72731,0
20010115,52.94,52.94,52.94,52.94,0,0
20010116,53.44,54.81,53.19,54.69,82746,0
20010117,54.56,54.63,53.56,53.94,70481,0
20010118,53.44,54.50,52.94,53.06,66556,0
20010119,52.06,52.69,50.44,50.81,85656,0
20010122,50.81,50.81,50.81,50.81,0,0
20010123,52.69,53.94,52.50,53.38,48998,0
20010124,53.44,53.63,52.38,53.50,77731,0
20010125,53.94,56.13,53.00,54.00,90452,0
20010126,54.94,54.94,53.38,53.63,49377,0
20010129,54.50,56.09,53.90,54.63,5069800,0
20010130,54.66,56.09,53.53,55.41,6730100,0
20010131,54.20,57.00,54.20,56.80,10736200,0
20010201,56.80,56.80,54.47,55.70,9855200,0
20010202,55.97,55.98,54.15,54.63,50600000,0
20010205,55.00,55.07,53.30,53.84,5539200,0
20010206,53.40,54.46,52.85,53.20,5326600,0
20010207,53.21,54.70,53.20,54.66,4912900,0
20010208,54.55,54.80,51.05,52.30,7856500,0
20010209,52.31,53.35,50.24,50.40,7817600,0
20010212,51.00,53.48,51.00,53.45,7228100,0
20010213,53.05,54.45,52.04,54.10,7401900,0
20010214,54.35,54.35,53.00,53.00,5041000,0
20010215,52.50,52.61,51.65,52.00,7450300,0
20010216,51.80,53.30,51.56,52.36,6187300,0
20010219,52.36,52.36,52.36,52.36,0,0
20010220,52.20,54.25,52.00,53.40,9265200,0
20010221,52.56,52.80,50.05,50.21,8062100,0
20010222,51.00,51.00,48.95,49.70,9126000,0
20010223,50.00,50.80,48.07,50.28,8046900,0
20010226,50.93,51.35,50.45,51.05,6002400,0
20010227,51.60,51.80,49.53,50.99,7017900,0
20010228,51.24,51.30,49.04,50.09,7086200,0
20010301,49.25,49.25,48.00,48.34,8702800,0
20010302,47.96,49.66,47.55,48.92,6367600,0
20010305,48.94,49.54,48.00,48.37,4562300,0
20010306,49.50,49.95,48.90,49.55,6653100,0
