DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,43.34,44.69,43.34,44.56,130908,0
20010103,44.56,44.88,42.63,42.63,200936,0
20010104,42.81,42.88,40.97,41.44,233054,0
20010105,41.44,42.53,41.44,41.63,176548,0
20010108,41.75,42.09,41.38,41.44,109374,0
20010109,41.31,41.31,40.72,41.00,109232,0
20010110,41.13,41.22,40.22,40.50,202912,0
20010111,40.81,41.44,40.75,40.88,106684,0
20010112,40.59,41.53,40.47,41.41,117296,0
20010115,41.41,41.41,41.41,41.41,0,0
20010116,40.94,41.22,40.28,40.91,154884,0
20010117,40.50,40.72,39.81,40.13,146570,0
20010118,40.28,40.31,39.50,39.59,168954,0
20010119,39.44,39.94,39.34,39.72,199298,0
20010122,39.72,39.72,39.72,39.72,0,0
20010123,39.78,40.94,39.69,40.91,105290,0
20010124,41.13,41.22,40.50,40.81,128118,0
20010125,41.16,41.41,41.03,41.25,1306000,0
20010126,41.25,41.25,40.34,40.50,109280,0
20010129,40.23,41.55,40.22,40.31,9941400,0
20010130,41.28,42.05,40.31,42.03,9056000,0
20010131,41.38,42.26,41.38,42.08,16077200,0
20010201,42.08,42.08,41.42,41.74,8530600,0
20010202,41.90,42.25,41.46,41.49,10378200,0
20010205,41.63,42.55,41.63,42.40,10177400,0
20010206,42.47,42.48,41.80,42.17,19548000,0
20010207,42.25,42.58,41.91,42.18,11017200,0
20010208,42.38,42.67,42.00,42.25,9332000,0
20010209,42.38,43.33,42.35,42.94,10677000,0
20010212,42.93,43.13,42.69,42.88,8229800,0
20010213,42.47,42.67,42.20,42.40,9274800,0
20010214,41.95,42.47,41.78,41.97,10495000,0
20010215,41.10,41.29,40.78,41.25,12636800,0
20010216,41.60,42.37,41.50,42.01,12452200,0
20010219,42.01,42.01,42.01,42.01,0,0
20010220,41.80,42.19,41.33,41.90,7680200,0
20010221,42.40,42.60,41.75,41.76,8535000,0
20010222,42.00,42.24,41.75,42.10,9929400,0
20010223,42.00,42.10,41.46,41.75,10132600,0
20010226,41.42,42.00,41.33,41.90,9474400,0
